iso3c,country,AGRI.CENSUS_2016,AGRI.CENSUS_2017,AGRI.CENSUS_2018,AGRI.CENSUS_2019,SPI.D2.2.AGRI_2016,SPI.D2.2.AGRI_2017,SPI.D2.2.AGRI_2018,SPI.D2.2.AGRI_2019
AFG,Afghanistan,NA,NA,NA,NA,0,0,0,0
ALB,Albania,"1998, 2012","1998, 2012","1998, 2012","1998, 2012",1,1,1,1
DZA,Algeria,2008,2008,2008,2008,1,1,1,0.5
AGO,Angola,2014,2014,2014,2014,1,1,1,1
ATG,Antigua and Barbuda,"2007, 2011","2007, 2011","2007, 2011","2007, 2011",1,1,1,1
ARG,Argentina,"2002, 2008","2002, 2008","2002, 2008","2002, 2008",1,1,1,0.5
ARM,Armenia,"2011, 2014","2011, 2014","2011, 2014","2011, 2014",1,1,1,1
AUS,Australia,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
AUT,Austria,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
AZE,Azerbaijan,"2005, 2015","2005, 2015","2005, 2015","2005, 2015",1,1,1,1
BHS,"Bahamas, The",2010,2010,2010,2010,1,1,1,1
BHR,Bahrain,2010,2010,2010,2010,1,1,1,1
BGD,Bangladesh,"2008, 2011","2008, 2011","2008, 2011","2008, 2011",1,1,1,1
BRB,Barbados,2010,2010,2010,2010,1,1,1,1
BLR,Belarus,2009,2009,2009,2009,1,1,1,1
BEL,Belgium,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
BLZ,Belize,2011,2011,2011,2011,1,1,1,1
BEN,Benin,2013,2013,2013,2013,1,1,1,1
BTN,Bhutan,"2005, 2009","2005, 2009","2005, 2009","2005, 2009",1,1,1,1
BOL,Bolivia,2013,2013,2013,2013,1,1,1,1
BIH,Bosnia and Herzegovina,2013,2013,2013,2013,1,1,1,1
BWA,Botswana,"2004, 2015","2004, 2015","2004, 2015","2004, 2015",1,1,1,1
BRA,Brazil,", 1996, 2006, 2017",", 1996, 2006, 2017",", 1996, 2006, 2017",", 1996, 2006, 2017",1,0.5,1,1
BRN,Brunei Darussalam,2011,2011,2011,2011,1,1,1,1
BGR,Bulgaria,2010,2010,2010,2010,1,1,1,1
BFA,Burkina Faso,"2007, 2010","2007, 2010","2007, 2010","2007, 2010",1,1,1,1
BDI,Burundi,2008,2008,2008,2008,1,1,1,0.5
CPV,Cabo Verde,"2010, 2015","2010, 2015","2010, 2015","2010, 2015",1,1,1,1
KHM,Cambodia,"2008, 2013","2008, 2013","2008, 2013","2008, 2013",1,1,1,1
CMR,Cameroon,2005,2005,2005,2005,0.5,0.5,0.5,0.5
CAN,Canada,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
CAF,Central African Republic,2003,2003,2003,2003,0.5,0.5,0.5,0.5
TCD,Chad,2009,2009,2009,2009,1,1,1,1
CHL,Chile,"2007, 2009","2007, 2009","2007, 2009","2007, 2009",1,1,1,1
CHN,China,2007,2007,2007,2007,1,1,0.5,0.5
COL,Colombia,", 2014, 2017",", 2014, 2017",", 2014, 2017",", 2014, 2017",1,1,1,1
COM,Comoros,2004,2004,2004,2004,0.5,0.5,0.5,0.5
COD,"Congo, Dem. Rep.",NA,NA,NA,NA,0,0,0,0
COG,"Congo, Rep.","2007, 2015","2007, 2015","2007, 2015","2007, 2015",1,1,1,1
CRI,Costa Rica,"2011, 2014","2011, 2014","2011, 2014","2011, 2014",1,1,1,1
NA,Côte d'Ivoire,2015,2015,2015,2015,1,1,1,1
HRV,Croatia,"2003, 2010","2003, 2010","2003, 2010","2003, 2010",1,1,1,1
CYP,Cyprus,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
CZE,Czech Republic,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
DNK,Denmark,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
DJI,Djibouti,2009,2009,2009,2009,1,1,1,1
DMA,Dominica,2015,2015,2015,2015,1,1,1,1
DOM,Dominican Republic,"2010, 2015","2010, 2015","2010, 2015","2010, 2015",1,1,1,1
ECU,Ecuador,1999,1999,1999,1999,0.5,0.5,0.5,0.5
EGY,"Egypt, Arab Rep.","2006, 2010","2006, 2010","2006, 2010","2006, 2010",1,1,1,1
SLV,El Salvador,2008,2008,2008,2008,1,1,1,0.5
GNQ,Equatorial Guinea,2015,2015,2015,2015,1,1,1,1
ERI,Eritrea,NA,NA,NA,NA,0,0,0,0
EST,Estonia,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
SWZ,Eswatini,2007,2007,2007,2007,1,1,0.5,0.5
ETH,Ethiopia,2007,2007,2007,2007,1,1,0.5,0.5
FJI,Fiji,2009,2009,2009,2009,1,1,1,1
FIN,Finland,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
FRA,France,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
GAB,Gabon,2013,2013,2013,2013,1,1,1,1
GMB,"Gambia, The","2002, 2012","2002, 2012","2002, 2012","2002, 2012",1,1,1,1
GEO,Georgia,"2004, 2005, 2014","2004, 2005, 2014","2004, 2005, 2014","2004, 2005, 2014",1,1,1,1
DEU,Germany,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
GHA,Ghana,2010,2010,2010,2010,1,1,1,1
