Country Name,3 digit country code,Date,"Dimension 1: Methodology, Standards & Classifications (MSC)",Dimension 1: System of National Accounts in use,Dimension 1: National Accounts base year ,Dimension 1: Classification of national industry,Dimension 1: CPI base year,Dimension 1: Classification of household consumption,Dimension 1: Classification of status of employment,Dimension 1: Central government accounting status,Dimension 1: Compilation of government finance statistics,Dimension 1: Compilation of monetary and financial statistics,Dimension 1: SDDS/e-GDDS subscription,Dimension 1: CRVS,Dimension 1: Business process,Dimension 2: Censuses and Surveys (CS),Dimension 2: Population & Housing census,Dimension 2: Agriculture census,Dimension 2: Business/establishment census,Dimension 2: Household Survey on income/consumption/expenditure/budget/Integrated Survey ,Dimension 2: Agriculture survey,Dimension 2: Labor Force Survey,Dimension 2: Health/Demographic survey,Dimension 2: Business/establishment survey,Dimension 3: Availability of Key Indicators (AKI),Dimension 3: Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),"Dimension 3: Prevalence of stunting, height for age (% of children under 5)",Dimension 3: Food Insecurity Experience Scale,"Dimension 3: Mortality rate, under-5 (per 1,000 live births)",Dimension 3: Pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,Dimension 3: Maternal Mortality,Dimension 3: People using safely managed drinking water services (% of population),Dimension 3: Access to electricity (% of population),"Dimension 3: Unemployment, total (% of total labor force) (national estimate)","Dimension 3: Manufacturing, value added (% of GDP)","Dimension 3: Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",Dimension 3: Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Dimension 3: Renewable energy consumption (% of total final energy consumption),Dimension 3: Households and NPISHs Final consumption expenditure (current LCU),Dimension 3: GNI (current LCU),Dimension 3: Quarterly GDP,"Dimension 3: Debt service (PPG and IMF only, % of exports of goods, services and primary income)",Dimension 4: Dissemination Practices & Openness (DPO),Dimension 4: NSO has an Advance Release Calendar and it is published ,Dimension 4: NSO has a listing of surveys and microdata sets (or NADA),Dimension 4: NSO has a data portal,Dimension 4: Timeseries indicators are available for download in reusable format for free,"Dimension 4: Metadata is available providing definition, methodology, standards or classifications for existing data series",Dimension 4: NSO has conducted a user satisfaction survey,Dimension 4: Geospatial data available on relevant agency website,SPI Overall Score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,2016,33.33333333333333,0.5,0,0,0,1,0,0.5,0.5,1,0.5,0,0,30,0,0.5,0,1,0,0.3,0.6,0,52.94117647058823,0,0.3,1,0.55,0.3,0.25,0,1,0.3,1,0,0.3,1,1,1,0,1,28.57142857142857,0,0,0,1,0,1,0,36.21148459383753,AF,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,NA,0.3,0.25,0,0.25,0.5,0.5,35383128
Angola,AGO,2016,37.5,0.5,0,1,0.5,1,0,0,0,1,0.5,0,0,43.75,1,0,1,0.6,0,0,0.3,0.6,50.29411764705883,0,0.3,1,0.4,0,0.25,0,1,0.3,1,0,0.3,1,1,1,0,1,0,0,0,0,0,0,0,0,32.88602941176471,AO,Luanda,13.242,-8.81155,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IBD,XF,IBRD,Angola,0.15,0.25,0,0.25,0.5,0.5,28842484
Albania,ALB,2016,79.16666666666666,0.5,1,1,0.5,1,0,1,1,1,0.5,1,1,53.75,1,1,0,1,0,1,0.3,0,72.3529411764706,1,0,1,1,0,0,1,1,1,1,0,0.3,1,1,1,1,1,85.71428571428571,1,0,1,1,1,1,1,72.74597338935574,AL,Tirane,19.8172,41.3317,ECS,Z7,Europe & Central Asia,ECA,7E,Europe & Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Albania,0.5,0.5,0,0,0.5,0.5,2876101
Argentina,ARG,2016,45.83333333333333,1,0,0.5,0,1,0,1,0,0,1,1,0,61.25000000000001,1,1,0,1,0.3,1,0.3,0.3,62.35294117647059,0,0,1,1,0.3,1,0,0,1,1,0,0.3,1,1,1,1,1,71.42857142857143,1,1,0,1,1,0,1,60.21621148459384,AR,Buenos Aires,-58.4173,-34.6118,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,NA,0.5,0.5,0.5,0.5,NA,NA,43590368
Armenia,ARM,2016,79.16666666666666,0.5,1,1,0.5,1,1,0,0.5,1,1,1,1,61.25000000000001,1,1,0,1,0.3,1,0.6,0,85.29411764705883,1,0.3,1,1,0.6,1,1,1,1,1,0,0.6,1,1,1,1,1,85.71428571428571,1,1,1,1,1,1,0,77.8562675070028,AM,Yerevan,44.509,40.1596,ECS,Z7,Europe & Central Asia,ECA,7E,Europe & Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Armenia,0.5,0.5,0.5,0.5,0.5,0.5,2936146
Antigua and Barbuda,ATG,2016,33.33333333333333,0.5,0.5,0.5,0,0,0,0,0,1,0.5,1,0,25,1,1,0,0,0,0,0,0,30.88235294117647,0,0,0,0.65,0,1,0,0.3,0,1,0,0.3,1,0,1,0,0,0,0,0,0,0,0,0,0,22.30392156862745,AG,Saint John's,-61.8456,17.1175,LCN,ZJ,Latin America & Caribbean ,NA,NA,NA,HIC,XD,High income,IBD,XF,IBRD,NA,0.15,0.5,0.5,0.5,0,0,94527
Azerbaijan,AZE,2016,62.5,0.5,0,1,1,1,0,0.5,0,1,0.5,1,1,48.75,1,1,0,1,0,0.6,0.3,0,72.3529411764706,0,0.6,0,0.8,0.6,1,1,1,1,1,0,0.3,1,1,1,1,1,85.71428571428571,1,0,1,1,1,1,1,67.32930672268908,AZ,Baku,49.8932,40.3834,ECS,Z7,Europe & Central Asia,ECA,7E,Europe & Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Azerbaijan,0.3,0.5,0.5,0.5,0.5,0.5,9757812
Burundi,BDI,2016,33.33333333333333,0.5,0,0.5,0.5,1,0,0,0,1,0.5,0,0,32.5,1,0,0,1,0.3,0,0.3,0,47.94117647058823,0.15,0.3,0,0.55,0.3,0.25,0,1,0.3,1,0,0.3,1,1,1,0,1,42.857142857142854,1,1,0,0,1,0,0,39.1579131652661,BI,Bujumbura,29.3639,-3.3784,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,Burundi,0.3,0.25,0,0.25,0.5,0.5,10487998
Benin,BEN,2016,20.833333333333336,0,0.5,0.5,0.5,0,0,0,0.5,0,0.5,0,0,62.5,1,0,1,1,0,1,1,0,55.58823529411764,0.8,0.3,0,0.75,0.3,0.4,0,1,0.3,1,0.3,0.3,1,1,1,0,1,28.57142857142857,0,1,0,0,1,0,0,41.87324929971989,BJ,Porto-Novo,2.6323,6.4779,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,Benin,0.5,0.25,0.15,0.25,0.5,0.5,10872067
Burkina Faso,BFA,2016,25,0.5,0,0.5,0.5,1,0,0,0,0,0.5,0,0,60,1,1,0,1,0.6,0.3,0.6,0.3,55.58823529411764,0.15,1,1,0.4,0.3,0,0,1,0.3,1,0,0.3,1,1,1,0,1,42.857142857142854,0,1,1,1,0,0,0,45.86134453781512,BF,Ouagadougou,-1.53395,12.3605,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,Burkina Faso,0.15,0.25,0,0,0.5,0.5,18646378
