iso3c,country,AGRI.SURVEYS_2016,AGRI.SURVEYS_2017,AGRI.SURVEYS_2018,AGRI.SURVEYS_2019,SPI.D2.5.AGRI_2016,SPI.D2.5.AGRI_2017,SPI.D2.5.AGRI_2018,SPI.D2.5.AGRI_2019
AFG,Afghanistan,NA,NA,NA,NA,0,0,0,0
ALB,Albania,NA,NA,NA,NA,0,0,0,0
DZA,Algeria,NA,NA,NA,NA,0,0,0,0
AGO,Angola,NA,NA,NA,NA,0,0,0,0
ATG,Antigua and Barbuda,NA,NA,NA,NA,0,0,0,0
ARG,Argentina,"2000, 2007","2000, 2007","2000, 2007","2000, 2007",0.3,0.3,0,0
ARM,Armenia,2008,2008,2008,2008,0.3,0.3,0.3,0
AZE,Azerbaijan,NA,NA,NA,NA,0,0,0,0
BGD,Bangladesh,2005,2005,2005,2005,0,0,0,0
BLR,Belarus,NA,NA,NA,NA,0,0,0,0
BLZ,Belize,NA,NA,NA,NA,0,0,0,0
BEN,Benin,NA,NA,NA,NA,0,0,0,0
BTN,Bhutan,NA,NA,NA,NA,0,0,0,0
BOL,Bolivia,"2008, 2015","2008, 2015","2008, 2015","2008, 2015",0.6,0.6,0.6,0.3
BIH,Bosnia and Herzegovina,NA,NA,NA,NA,0,0,0,0
BWA,Botswana,NA,NA,NA,NA,0,0,0,0
BRA,Brazil,"2013, 2014, 2015, 2016, 2017","2013, 2014, 2015, 2016, 2017","2013, 2014, 2015, 2016, 2017","2013, 2014, 2015, 2016, 2017",1,1,1,1
BGR,Bulgaria,"2003, 2005, 2007, 2010, 2013, 2016","2003, 2005, 2007, 2010, 2013, 2016","2003, 2005, 2007, 2010, 2013, 2016","2003, 2005, 2007, 2010, 2013, 2016",1,1,1,1
BFA,Burkina Faso,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007",0.6,0.3,0,0
BDI,Burundi,2011,2011,2011,2011,0.3,0.3,0.3,0.3
CPV,Cabo Verde,NA,NA,NA,NA,0,0,0,0
KHM,Cambodia,NA,NA,NA,NA,0,0,0,0
CMR,Cameroon,NA,NA,NA,NA,0,0,0,0
CAF,Central African Republic,NA,NA,NA,NA,0,0,0,0
TCD,Chad,NA,NA,NA,NA,0,0,0,0
CHL,Chile,NA,NA,NA,NA,0,0,0,0
CHN,China,NA,NA,NA,NA,0,0,0,0
COL,Colombia,"2001, 2008, 2010, 2014","2001, 2008, 2010, 2014","2001, 2008, 2010, 2014","2001, 2008, 2010, 2014",1,1,1,0.6
