REF_AREA,INDICATOR,SEX,SERIES_NAME,SERIES_YEAR,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE,SERIES_CATEGORY,SERIES_TYPE,STD_ERR,REF_DATE,AGE_GROUP_OF_WOMEN,TIME_SINCE_FIRST_BIRTH,INTERVAL,SERIES_METHOD,LOWER_BOUND,UPPER_BOUND,MODEL,date,country,D3.CHLD.MORT
Afghanistan,Under-five mortality rate,Total,Demographic and Health Survey (NN adjusted) 2015 (Direct),2015,2013-07,67.41573374,Included in IGME,Deaths per 1000 live births,DHS,Direct,NA,2013.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2015,Afghanistan,67.41573374
Afghanistan,Under-five mortality rate,Total,Demographic and Health Survey (NN adjusted) 2015 (Direct),2015,2010-07,83.29626269,Included in IGME,Deaths per 1000 live births,DHS,Direct,NA,2010.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2015,Afghanistan,83.29626269
Afghanistan,Under-five mortality rate,Total,Demographic and Health Survey (NN adjusted) 2015 (Direct),2015,2007-07,88.34922577,Included in IGME,Deaths per 1000 live births,DHS,Direct,NA,2007.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2015,Afghanistan,88.34922577
Afghanistan,Under-five mortality rate,Total,Demographic and Health Survey (NN adjusted) 2015 (Direct),2015,2004-07,103.4748776,Included in IGME,Deaths per 1000 live births,DHS,Direct,NA,2004.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2015,Afghanistan,103.4748776
Afghanistan,Under-five mortality rate,Total,Demographic and Health Survey (NN adjusted) 2015 (Direct),2015,2001-07,120.6914995,Included in IGME,Deaths per 1000 live births,DHS,Direct,NA,2001.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2015,Afghanistan,120.6914995
Afghanistan,Under-five mortality rate,Total,Demographic and Health Survey (NN adjusted) 2015 (Direct),2015,1998-07,116.9496451,Included in IGME,Deaths per 1000 live births,DHS,Direct,NA,1998.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2015,Afghanistan,116.9496451
Afghanistan,Under-five mortality rate,Total,Demographic and Health Survey (NN adjusted) 2015 (Direct),2015,1995-07,139.5783667,Included in IGME,Deaths per 1000 live births,DHS,Direct,NA,1995.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2015,Afghanistan,139.5783667
Afghanistan,Under-five mortality rate,Total,Demographic and Health Survey (NN adjusted) 2015 (Direct),2015,1992-07,160.2172965,Included in IGME,Deaths per 1000 live births,DHS,Direct,NA,1992.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2015,Afghanistan,160.2172965
Azerbaijan,Under-five mortality rate,Total,Azerbaijan National DHS 2011 (Direct),2011,2008-07,46.1,Included in IGME,Deaths per 1000 live births,NDHS,Direct,5.6,2008.5,NA,NA,5,Survey/Census with Full Birth Histories,NA,NA,NA,2011,Azerbaijan,46.1
Azerbaijan,Under-five mortality rate,Total,Azerbaijan National DHS 2011 (Direct),2011,2003-07,56.4,Included in IGME,Deaths per 1000 live births,NDHS,Direct,7.1,2003.5,NA,NA,5,Survey/Census with Full Birth Histories,NA,NA,NA,2011,Azerbaijan,56.4
Azerbaijan,Under-five mortality rate,Total,Azerbaijan National DHS 2011 (Direct),2011,1998-07,94,Included in IGME,Deaths per 1000 live births,NDHS,Direct,8.7,1998.5,NA,NA,5,Survey/Census with Full Birth Histories,NA,NA,NA,2011,Azerbaijan,94
Azerbaijan,Under-five mortality rate,Total,Azerbaijan National DHS 2011 (Direct),2011,1993-07,90.2,Included in IGME,Deaths per 1000 live births,NDHS,Direct,6.2,1993.5,NA,NA,5,Survey/Census with Full Birth Histories,NA,NA,NA,2011,Azerbaijan,90.2
Azerbaijan,Under-five mortality rate,Total,Azerbaijan National DHS 2011 (Direct),2011,1988-07,101.5,Included in IGME,Deaths per 1000 live births,NDHS,Direct,8.5,1988.5,NA,NA,5,Survey/Census with Full Birth Histories,NA,NA,NA,2011,Azerbaijan,101.5
Bangladesh,Under-five mortality rate,Total,Census 2011 (Household Deaths),2011,2010-09,46.552,Included in IGME,Deaths per 1000 live births,Census,Household Deaths,NA,2010.7,NA,NA,1,Survey/Census with Household death,NA,NA,NA,2011,Bangladesh,46.552
Bangladesh,Under-five mortality rate,Total,Demographic and Health Survey 2011 (Direct),2011,2010-01,50.5,Included in IGME,Deaths per 1000 live births,DHS,Direct,4.3,2010,NA,NA,2,Survey/Census with Full Birth Histories,NA,NA,NA,2011,Bangladesh,50.5
Bangladesh,Under-five mortality rate,Total,Demographic and Health Survey 2011 (Direct),2011,2008-01,56.3,Included in IGME,Deaths per 1000 live births,DHS,Direct,4.1,2008,NA,NA,2,Survey/Census with Full Birth Histories,NA,NA,NA,2011,Bangladesh,56.3
Bangladesh,Under-five mortality rate,Total,Demographic and Health Survey 2011 (Direct),2011,2006-01,68.1,Included in IGME,Deaths per 1000 live births,DHS,Direct,5.4,2006,NA,NA,2,Survey/Census with Full Birth Histories,NA,NA,NA,2011,Bangladesh,68.1
Bangladesh,Under-five mortality rate,Total,Demographic and Health Survey 2011 (Direct),2011,2004-01,71.6,Included in IGME,Deaths per 1000 live births,DHS,Direct,4.5,2004,NA,NA,2,Survey/Census with Full Birth Histories,NA,NA,NA,2011,Bangladesh,71.6
Bangladesh,Under-five mortality rate,Total,Demographic and Health Survey 2011 (Direct),2011,2002-01,76.5,Included in IGME,Deaths per 1000 live births,DHS,Direct,5.3,2002,NA,NA,2,Survey/Census with Full Birth Histories,NA,NA,NA,2011,Bangladesh,76.5
Bangladesh,Under-five mortality rate,Total,Demographic and Health Survey 2011 (Direct),2011,2000-01,84,Included in IGME,Deaths per 1000 live births,DHS,Direct,5,2000,NA,NA,2,Survey/Census with Full Birth Histories,NA,NA,NA,2011,Bangladesh,84
Bangladesh,Under-five mortality rate,Total,Demographic and Health Survey 2011 (Direct),2011,1998-01,97.6,Included in IGME,Deaths per 1000 live births,DHS,Direct,5.6,1998,NA,NA,2,Survey/Census with Full Birth Histories,NA,NA,NA,2011,Bangladesh,97.6
Bangladesh,Under-five mortality rate,Total,Demographic and Health Survey 2011 (Direct),2011,1996-01,102,Included in IGME,Deaths per 1000 live births,DHS,Direct,5.9,1996,NA,NA,2,Survey/Census with Full Birth Histories,NA,NA,NA,2011,Bangladesh,102
Bangladesh,Under-five mortality rate,Total,Demographic and Health Survey 2011 (Direct),2011,1994-01,112.4,Included in IGME,Deaths per 1000 live births,DHS,Direct,6.4,1994,NA,NA,2,Survey/Census with Full Birth Histories,NA,NA,NA,2011,Bangladesh,112.4
Bangladesh,Under-five mortality rate,Total,Demographic and Health Survey 2011 (Direct),2011,1992-01,123.5,Included in IGME,Deaths per 1000 live births,DHS,Direct,6.8,1992,NA,NA,2,Survey/Census with Full Birth Histories,NA,NA,NA,2011,Bangladesh,123.5
