iso3c,country,AGRI.SURVEYS_2016,AGRI.SURVEYS_2017,AGRI.SURVEYS_2018,SPI.D2.5.AGRI_2016,SPI.D2.5.AGRI_2017,SPI.D2.5.AGRI_2018
AFG,Afghanistan,NA,NA,NA,0,0,0
ALB,Albania,NA,NA,NA,0,0,0
DZA,Algeria,NA,NA,NA,0,0,0
AGO,Angola,NA,NA,NA,0,0,0
ATG,Antigua and Barbuda,NA,NA,NA,0,0,0
ARG,Argentina,"2007, 2001, 2000","2007, 2001, 2000","2007, 2001, 2000",0.3,0.3,0
ARM,Armenia,2008,2008,2008,0.3,0.3,0.3
AUS,Australia,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1
AUT,Austria,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1
AZE,Azerbaijan,NA,NA,NA,0,0,0
BHS,"Bahamas, The",NA,NA,NA,0,0,0
BHR,Bahrain,NA,NA,NA,0,0,0
BGD,Bangladesh,2005,2005,2005,0,0,0
BRB,Barbados,NA,NA,NA,0,0,0
BLR,Belarus,NA,NA,NA,0,0,0
BEL,Belgium,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1
BLZ,Belize,NA,NA,NA,0,0,0
BEN,Benin,NA,NA,NA,0,0,0
BTN,Bhutan,NA,NA,NA,0,0,0
BOL,Bolivia,"2008, 2015","2008, 2015","2008, 2015",0.6,0.6,0.6
BIH,Bosnia and Herzegovina,NA,NA,NA,0,0,0
BWA,Botswana,NA,NA,NA,0,0,0
BRA,Brazil,"2017, 2016, 2015, 2014, 2013 …. 1990","2017, 2016, 2015, 2014, 2013 …. 1990","2017, 2016, 2015, 2014, 2013 …. 1990",1,1,1
BRN,Brunei Darussalam,NA,NA,NA,0,0,0
BGR,Bulgaria,"2003, 2005, 2007, 2010, 2013, 2016","2003, 2005, 2007, 2010, 2013, 2016","2003, 2005, 2007, 2010, 2013, 2016",1,1,1
BFA,Burkina Faso,"1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008","1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008","1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008",1,0.6,0.3
BDI,Burundi,"2011, 2012","2011, 2012","2011, 2012",0.6,0.6,0.6
CPV,Cabo Verde,NA,NA,NA,0,0,0
KHM,Cambodia,NA,NA,NA,0,0,0
CMR,Cameroon,NA,NA,NA,0,0,0
CAN,Canada,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1
CAF,Central African Republic,NA,NA,NA,0,0,0
TCD,Chad,NA,NA,NA,0,0,0
CHL,Chile,"2015, 2016, 2017","2015, 2016, 2017","2015, 2016, 2017",0.3,0.6,1
CHN,China,NA,NA,NA,0,0,0
COL,Colombia,"2001, 2008, 2010, 2014","2001, 2008, 2010, 2014","2001, 2008, 2010, 2014",1,1,1
COM,Comoros,NA,NA,NA,0,0,0
COD,"Congo, Dem. Rep.",0,0,0,0,0,0
COG,"Congo, Rep.",0,0,0,0,0,0
CRI,Costa Rica,NA,NA,NA,0,0,0
NA,Côte d'Ivoire,2016,2016,2016,0,0.3,0.3
HRV,Croatia,"2005, 2007, 2010, 2013, 2016","2005, 2007, 2010, 2013, 2016","2005, 2007, 2010, 2013, 2016",1,1,1
