FREQ,REF_AREA,INDICATOR,UNIT_MULT,TIME_FORMAT,TIME_PERIOD,OBS_VALUE
Q,AR,NGDP_XDC,6,P3M,2009-Q1,278076.9
Q,AR,NGDP_XDC,6,P3M,2009-Q2,312866.2
Q,AR,NGDP_XDC,6,P3M,2009-Q3,317433.7
Q,AR,NGDP_XDC,6,P3M,2009-Q4,339552.5
Q,AR,NGDP_XDC,6,P3M,2010-Q1,354714.5
Q,AR,NGDP_XDC,6,P3M,2010-Q2,421516.7
Q,AR,NGDP_XDC,6,P3M,2010-Q3,428208.6
Q,AR,NGDP_XDC,6,P3M,2010-Q4,457281.1
Q,AR,NGDP_XDC,6,P3M,2011-Q1,472206.8
Q,AR,NGDP_XDC,6,P3M,2011-Q2,559281
Q,AR,NGDP_XDC,6,P3M,2011-Q3,562621.8
Q,AR,NGDP_XDC,6,P3M,2011-Q4,584914.5
Q,AR,NGDP_XDC,6,P3M,2012-Q1,586389.9
Q,AR,NGDP_XDC,6,P3M,2012-Q2,662774.5
Q,AR,NGDP_XDC,6,P3M,2012-Q3,676206.9
Q,AR,NGDP_XDC,6,P3M,2012-Q4,712542.5
Q,AR,NGDP_XDC,6,P3M,2013-Q1,722245.2
Q,AR,NGDP_XDC,6,P3M,2013-Q2,846952.7
Q,AR,NGDP_XDC,6,P3M,2013-Q3,859136.6
Q,AR,NGDP_XDC,6,P3M,2013-Q4,919973.9
Q,AR,NGDP_XDC,6,P3M,2014-Q1,979412.2
Q,AR,NGDP_XDC,6,P3M,2014-Q2,1175657.4
Q,AR,NGDP_XDC,6,P3M,2014-Q3,1171375.8
Q,AR,NGDP_XDC,6,P3M,2014-Q4,1252641
Q,AR,NGDP_XDC,6,P3M,2015-Q1,1273173.4
Q,AR,NGDP_XDC,6,P3M,2015-Q2,1487869.7
Q,AR,NGDP_XDC,6,P3M,2015-Q3,1555432.7
Q,AR,NGDP_XDC,6,P3M,2015-Q4,1638035.1
Q,AR,NGDP_XDC,6,P3M,2016-Q1,1751661.3
Q,AR,NGDP_XDC,6,P3M,2016-Q2,2103639.1
Q,AR,NGDP_XDC,6,P3M,2016-Q3,2131907.2
Q,AR,NGDP_XDC,6,P3M,2016-Q4,2240952
Q,AR,NGDP_XDC,6,P3M,2017-Q1,2310219.4
Q,AR,NGDP_XDC,6,P3M,2017-Q2,2639552.1
Q,AR,NGDP_XDC,6,P3M,2017-Q3,2779105.6
Q,AR,NGDP_XDC,6,P3M,2017-Q4,2931351.4
Q,AR,NGDP_XDC,6,P3M,2018-Q1,3059794.1
Q,AR,NGDP_XDC,6,P3M,2018-Q2,3508513.6
Q,AR,NGDP_XDC,6,P3M,2018-Q3,3779530.9
Q,AR,NGDP_XDC,6,P3M,2018-Q4,4194883.5
Q,AR,NGDP_XDC,6,P3M,2019-Q1,4353028.3
Q,AR,NGDP_XDC,6,P3M,2019-Q2,5227421.3
Q,AR,NGDP_XDC,6,P3M,2019-Q3,5571813.8
Q,AR,NGDP_XDC,6,P3M,2019-Q4,6294986.5
Q,CA,NGDP_XDC,6,P3M,2009-Q1,375035
Q,CA,NGDP_XDC,6,P3M,2009-Q2,382727
Q,CA,NGDP_XDC,6,P3M,2009-Q3,407002
Q,CA,NGDP_XDC,6,P3M,2009-Q4,406570
Q,CA,NGDP_XDC,6,P3M,2010-Q1,391696
Q,CA,NGDP_XDC,6,P3M,2010-Q2,407594
Q,CA,NGDP_XDC,6,P3M,2010-Q3,430749
Q,CA,NGDP_XDC,6,P3M,2010-Q4,436009
Q,CA,NGDP_XDC,6,P3M,2011-Q1,417217
Q,CA,NGDP_XDC,6,P3M,2011-Q2,432644
Q,CA,NGDP_XDC,6,P3M,2011-Q3,461083
Q,CA,NGDP_XDC,6,P3M,2011-Q4,463119
Q,CA,NGDP_XDC,6,P3M,2012-Q1,432807
Q,CA,NGDP_XDC,6,P3M,2012-Q2,446954
Q,CA,NGDP_XDC,6,P3M,2012-Q3,473592
Q,CA,NGDP_XDC,6,P3M,2012-Q4,473848
Q,CA,NGDP_XDC,6,P3M,2013-Q1,443125
Q,CA,NGDP_XDC,6,P3M,2013-Q2,460401
Q,CA,NGDP_XDC,6,P3M,2013-Q3,500963
Q,CA,NGDP_XDC,6,P3M,2013-Q4,497758
Q,CA,NGDP_XDC,6,P3M,2014-Q1,467345
Q,CA,NGDP_XDC,6,P3M,2014-Q2,488985
Q,CA,NGDP_XDC,6,P3M,2014-Q3,524490
