iso3c,country,date,HOUS
ESP,Spain,2016,COICOP
ESP,Spain,2017,COICOP
ESP,Spain,2018,COICOP
EST,Estonia,2016,COICOP
EST,Estonia,2017,COICOP
EST,Estonia,2018,COICOP
ETH,Ethiopia,2016,na
ETH,Ethiopia,2017,"NA"
ETH,Ethiopia,2018,"NA"
FIN,Finland,2016,COICOP
FIN,Finland,2017,COICOP
FIN,Finland,2018,COICOP
FJI,Fiji,2016,na
FJI,Fiji,2017,COICOP
FJI,Fiji,2018,COICOP
FRA,France,2016,COICOP
FRA,France,2017,COICOP
FRA,France,2018,COICOP
FSM,"Micronesia, Fed. Sts.",2016,COICOP
FSM,"Micronesia, Fed. Sts.",2017,COICOP
FSM,"Micronesia, Fed. Sts.",2018,COICOP
GAB,Gabon,2016,na
GAB,Gabon,2017,"NA"
GAB,Gabon,2018,"NA"
GBR,United Kingdom,2016,na
GBR,United Kingdom,2017,COICOP
GBR,United Kingdom,2018,COICOP
GEO,Georgia,2016,COICOP
GEO,Georgia,2017,COICOP
GEO,Georgia,2018,COICOP
GHA,Ghana,2016,COICOP
GHA,Ghana,2017,COICOP
GHA,Ghana,2018,COICOP
GIN,Guinea,2016,na
GIN,Guinea,2017,"NA"
GIN,Guinea,2018,"NA"
GMB,"Gambia, The",2016,na
GMB,"Gambia, The",2017,"NA"
GMB,"Gambia, The",2018,"NA"
GNB,Guinea-Bissau,2016,na
GNB,Guinea-Bissau,2017,"NA"
GNB,Guinea-Bissau,2018,"NA"
GNQ,Equatorial Guinea,2016,0
GNQ,Equatorial Guinea,2017,COICOP
GNQ,Equatorial Guinea,2018,COICOP
GRC,Greece,2016,COICOP
GRC,Greece,2017,COICOP
GRC,Greece,2018,COICOP
GRD,Grenada,2016,na
GRD,Grenada,2017,"NA"
GRD,Grenada,2018,"NA"
GTM,Guatemala,2016,na
GTM,Guatemala,2017,"NA"
GTM,Guatemala,2018,"NA"
GUY,Guyana,2016,na
GUY,Guyana,2017,"NA"
GUY,Guyana,2018,"NA"
HND,Honduras,2016,COICOP
HND,Honduras,2017,COICOP
HND,Honduras,2018,COICOP
HRV,Croatia,2016,COICOP
HRV,Croatia,2017,COICOP
HRV,Croatia,2018,COICOP
HTI,Haiti,2016,COICOP
HTI,Haiti,2017,COICOP
HTI,Haiti,2018,COICOP
HUN,Hungary,2016,COICOP
HUN,Hungary,2017,COICOP
HUN,Hungary,2018,COICOP
IDN,Indonesia,2016,na
IDN,Indonesia,2017,"NA"
IDN,Indonesia,2018,"NA"
IND,India,2016,COICOP
IND,India,2017,COICOP
IND,India,2018,COICOP
IRL,Ireland,2016,COICOP
IRL,Ireland,2017,COICOP
IRL,Ireland,2018,COICOP
IRN,"Iran, Islamic Rep.",2016,COICOP
IRN,"Iran, Islamic Rep.",2017,COICOP
IRN,"Iran, Islamic Rep.",2018,COICOP
IRQ,Iraq,2016,COICOP
IRQ,Iraq,2017,COICOP
IRQ,Iraq,2018,COICOP
ISL,Iceland,2016,COICOP
ISL,Iceland,2017,COICOP
ISL,Iceland,2018,COICOP
ISR,Israel,2016,COICOP
ISR,Israel,2017,COICOP
ISR,Israel,2018,COICOP
ITA,Italy,2016,COICOP
ITA,Italy,2017,COICOP
ITA,Italy,2018,COICOP
JAM,Jamaica,2016,COICOP
JAM,Jamaica,2017,COICOP
JAM,Jamaica,2018,COICOP
JOR,Jordan,2016,na
JOR,Jordan,2017,"NA"
JOR,Jordan,2018,"NA"
JPN,Japan,2016,COICOP
JPN,Japan,2017,COICOP
JPN,Japan,2018,COICOP
KAZ,Kazakhstan,2016,COICOP
KAZ,Kazakhstan,2017,COICOP
KAZ,Kazakhstan,2018,COICOP
KEN,Kenya,2016,na
KEN,Kenya,2017,"NA"
KEN,Kenya,2018,"NA"
KGZ,Kyrgyz Republic,2016,COICOP
KGZ,Kyrgyz Republic,2017,COICOP
KGZ,Kyrgyz Republic,2018,COICOP
KHM,Cambodia,2016,COICOP
KHM,Cambodia,2017,COICOP
KHM,Cambodia,2018,COICOP
KIR,Kiribati,2016,na
KIR,Kiribati,2017,"NA"
KIR,Kiribati,2018,"NA"
KNA,St. Kitts and Nevis,2016,0
KNA,St. Kitts and Nevis,2017,0
KNA,St. Kitts and Nevis,2018,0
KOR,"Korea, Rep.",2016,COICOP
KOR,"Korea, Rep.",2017,COICOP
KOR,"Korea, Rep.",2018,COICOP
KWT,Kuwait,2016,na
KWT,Kuwait,2017,"NA"
KWT,Kuwait,2018,"NA"
LAO,Lao PDR,2016,na
LAO,Lao PDR,2017,0
LAO,Lao PDR,2018,0
LBN,Lebanon,2016,na
LBN,Lebanon,2017,"NA"
LBN,Lebanon,2018,"NA"
LBR,Liberia,2016,COICOP
LBR,Liberia,2017,COICOP
LBR,Liberia,2018,COICOP
LBY,Libya,2016,COICOP
LBY,Libya,2017,COICOP
LBY,Libya,2018,COICOP
LCA,St. Lucia,2016,na
LCA,St. Lucia,2017,"NA"
LCA,St. Lucia,2018,"NA"
LKA,Sri Lanka,2016,COICOP
LKA,Sri Lanka,2017,COICOP
LKA,Sri Lanka,2018,COICOP
LSO,Lesotho,2016,COICOP
LSO,Lesotho,2017,COICOP
LSO,Lesotho,2018,COICOP
LTU,Lithuania,2016,COICOP
LTU,Lithuania,2017,COICOP
LTU,Lithuania,2018,COICOP
LUX,Luxembourg,2016,COICOP
LUX,Luxembourg,2017,COICOP
LUX,Luxembourg,2018,COICOP
LVA,Latvia,2016,COICOP
LVA,Latvia,2017,COICOP
LVA,Latvia,2018,COICOP
MAR,Morocco,2016,0
MAR,Morocco,2017,COICOP
MAR,Morocco,2018,COICOP
MDA,Moldova,2016,COICOP
MDA,Moldova,2017,COICOP
MDA,Moldova,2018,COICOP
MDG,Madagascar,2016,COICOP
MDG,Madagascar,2017,COICOP
MDG,Madagascar,2018,COICOP
MDV,Maldives,2016,COICOP
MDV,Maldives,2017,COICOP
MDV,Maldives,2018,COICOP
MEX,Mexico,2016,na
MEX,Mexico,2017,COICOP
MEX,Mexico,2018,COICOP
MHL,Marshall Islands,2016,0
MHL,Marshall Islands,2017,0
MHL,Marshall Islands,2018,0
MKD,"Macedonia, FYR",2016,COICOP
MKD,"Macedonia, FYR",2017,COICOP
MKD,"Macedonia, FYR",2018,COICOP
MLI,Mali,2016,COICOP
MLI,Mali,2017,COICOP
MLI,Mali,2018,COICOP
MLT,Malta,2016,COICOP
MLT,Malta,2017,COICOP
MLT,Malta,2018,COICOP
MMR,Myanmar,2016,na
MMR,Myanmar,2017,"NA"
MMR,Myanmar,2018,"NA"
MNE,Montenegro,2016,COICOP
MNE,Montenegro,2017,COICOP
MNE,Montenegro,2018,COICOP
MNG,Mongolia,2016,COICOP
MNG,Mongolia,2017,COICOP
MNG,Mongolia,2018,COICOP
MOZ,Mozambique,2016,COICOP
MOZ,Mozambique,2017,COICOP
MOZ,Mozambique,2018,COICOP
MRT,Mauritania,2016,COICOP
MRT,Mauritania,2017,COICOP
MRT,Mauritania,2018,COICOP
MUS,Mauritius,2016,COICOP
MUS,Mauritius,2017,COICOP
MUS,Mauritius,2018,COICOP
MWI,Malawi,2016,na
MWI,Malawi,2017,"NA"
MWI,Malawi,2018,"NA"
MYS,Malaysia,2016,COICOP
MYS,Malaysia,2017,COICOP
MYS,Malaysia,2018,COICOP
NAM,Namibia,2016,na
NAM,Namibia,2017,"NA"
NAM,Namibia,2018,"NA"
NER,Niger,2016,COICOP
NER,Niger,2017,COICOP
NER,Niger,2018,COICOP
NGA,Nigeria,2016,na
NGA,Nigeria,2017,"NA"
NGA,Nigeria,2018,"NA"
NIC,Nicaragua,2016,0
NIC,Nicaragua,2017,0
NIC,Nicaragua,2018,0
NLD,Netherlands,2016,COICOP
NLD,Netherlands,2017,COICOP
NLD,Netherlands,2018,COICOP
NOR,Norway,2016,COICOP
NOR,Norway,2017,COICOP
NOR,Norway,2018,COICOP
NPL,Nepal,2016,na
NPL,Nepal,2017,"NA"
NPL,Nepal,2018,"NA"
NRU,Nauru,2016,0
NRU,Nauru,2017,0
NRU,Nauru,2018,0
NZL,New Zealand,2016,COICOP
NZL,New Zealand,2017,COICOP
NZL,New Zealand,2018,COICOP
OMN,Oman,2016,COICOP
OMN,Oman,2017,COICOP
OMN,Oman,2018,COICOP
PAK,Pakistan,2016,na
PAK,Pakistan,2017,"NA"
PAK,Pakistan,2018,"NA"
PAN,Panama,2016,na
PAN,Panama,2017,"NA"
PAN,Panama,2018,"NA"
PER,Peru,2016,na
PER,Peru,2017,"NA"
PER,Peru,2018,"NA"
PHL,Philippines,2016,COICOP
PHL,Philippines,2017,COICOP
PHL,Philippines,2018,COICOP
PLW,Palau,2016,0
PLW,Palau,2017,0
PLW,Palau,2018,0
PNG,Papua New Guinea,2016,na
PNG,Papua New Guinea,2017,"NA"
PNG,Papua New Guinea,2018,"NA"
POL,Poland,2016,COICOP
POL,Poland,2017,COICOP
POL,Poland,2018,COICOP
PRT,Portugal,2016,COICOP
PRT,Portugal,2017,COICOP
PRT,Portugal,2018,COICOP
PRY,Paraguay,2016,COICOP
PRY,Paraguay,2017,COICOP
PRY,Paraguay,2018,COICOP
PSE,West Bank and Gaza,2016,COICOP
PSE,West Bank and Gaza,2017,COICOP
PSE,West Bank and Gaza,2018,COICOP
QAT,Qatar,2016,na
QAT,Qatar,2017,"NA"
QAT,Qatar,2018,"NA"
ROU,Romania,2016,na
ROU,Romania,2017,"NA"
ROU,Romania,2018,"NA"
RUS,Russian Federation,2016,COICOP
RUS,Russian Federation,2017,COICOP
RUS,Russian Federation,2018,COICOP
RWA,Rwanda,2016,na
RWA,Rwanda,2017,COICOP
RWA,Rwanda,2018,COICOP
SAU,Saudi Arabia,2016,COICOP
SAU,Saudi Arabia,2017,COICOP
SAU,Saudi Arabia,2018,COICOP
SDN,Sudan,2016,na
SDN,Sudan,2017,"NA"
SDN,Sudan,2018,"NA"
SEN,Senegal,2016,COICOP
SEN,Senegal,2017,COICOP
SEN,Senegal,2018,COICOP
SGP,Singapore,2016,COICOP
SGP,Singapore,2017,COICOP
SGP,Singapore,2018,COICOP
SLB,Solomon Islands,2016,na
SLB,Solomon Islands,2017,"NA"
SLB,Solomon Islands,2018,"NA"
SLE,Sierra Leone,2016,na
SLE,Sierra Leone,2017,"NA"
SLE,Sierra Leone,2018,"NA"
SLV,El Salvador,2016,COICOP
SLV,El Salvador,2017,COICOP
SLV,El Salvador,2018,COICOP
SMR,San Marino,2016,0
SMR,San Marino,2017,0
SMR,San Marino,2018,0
SOM,Somalia,2016,na
SOM,Somalia,2017,0
SOM,Somalia,2018,0
SRB,Serbia,2016,COICOP
SRB,Serbia,2017,COICOP
SRB,Serbia,2018,COICOP
SSD,South Sudan,2016,na
SSD,South Sudan,2017,0
SSD,South Sudan,2018,0
STP,São Tomé and Principe,2016,COICOP
STP,São Tomé and Principe,2017,COICOP
STP,São Tomé and Principe,2018,COICOP
SUR,Suriname,2016,COICOP
SUR,Suriname,2017,COICOP
SUR,Suriname,2018,COICOP
SVK,Slovak Republic,2016,COICOP
SVK,Slovak Republic,2017,COICOP
SVK,Slovak Republic,2018,COICOP
SVN,Slovenia,2016,COICOP
SVN,Slovenia,2017,COICOP
SVN,Slovenia,2018,COICOP
SWE,Sweden,2016,COICOP
SWE,Sweden,2017,COICOP
SWE,Sweden,2018,COICOP
SWZ,Eswatini,2016,na
SWZ,Eswatini,2017,0
SWZ,Eswatini,2018,0
SYC,Seychelles,2016,COICOP
SYC,Seychelles,2017,COICOP
SYC,Seychelles,2018,COICOP
SYR,Syrian Arab Republic,2016,COICOP
SYR,Syrian Arab Republic,2017,COICOP
SYR,Syrian Arab Republic,2018,COICOP
TCD,Chad,2016,na
TCD,Chad,2017,"NA"
TCD,Chad,2018,"NA"
TGO,Togo,2016,COICOP
TGO,Togo,2017,COICOP
TGO,Togo,2018,COICOP
THA,Thailand,2016,COICOP
THA,Thailand,2017,COICOP
THA,Thailand,2018,COICOP
TJK,Tajikistan,2016,COICOP
TJK,Tajikistan,2017,COICOP
TJK,Tajikistan,2018,COICOP
TKM,Turkmenistan,2016,na
TKM,Turkmenistan,2017,0
TKM,Turkmenistan,2018,0
TLS,Timor-Leste,2016,COICOP
TLS,Timor-Leste,2017,COICOP
TLS,Timor-Leste,2018,COICOP
TON,Tonga,2016,na
TON,Tonga,2017,"NA"
TON,Tonga,2018,"NA"
TTO,Trinidad and Tobago,2016,COICOP
TTO,Trinidad and Tobago,2017,COICOP
TTO,Trinidad and Tobago,2018,COICOP
TUN,Tunisia,2016,na
TUN,Tunisia,2017,"NA"
TUN,Tunisia,2018,"NA"
TUR,Turkey,2016,COICOP
TUR,Turkey,2017,COICOP
TUR,Turkey,2018,COICOP
TUV,Tuvalu,2016,0
TUV,Tuvalu,2017,0
TUV,Tuvalu,2018,0
TZA,Tanzania,2016,COICOP
TZA,Tanzania,2017,COICOP
TZA,Tanzania,2018,COICOP
UGA,Uganda,2016,COICOP
UGA,Uganda,2017,COICOP
UGA,Uganda,2018,COICOP
UKR,Ukraine,2016,COICOP
UKR,Ukraine,2017,COICOP
UKR,Ukraine,2018,COICOP
URY,Uruguay,2016,na
URY,Uruguay,2017,"NA"
URY,Uruguay,2018,"NA"
USA,United States,2016,na
USA,United States,2017,"NA"
USA,United States,2018,"NA"
UZB,Uzbekistan,2016,na
UZB,Uzbekistan,2017,COICOP
UZB,Uzbekistan,2018,COICOP
VCT,St. Vincent and the Grenadines,2016,COICOP
VCT,St. Vincent and the Grenadines,2017,COICOP
VCT,St. Vincent and the Grenadines,2018,COICOP
VEN,"Venezuela, RB",2016,COICOP
VEN,"Venezuela, RB",2017,COICOP
VEN,"Venezuela, RB",2018,COICOP
VNM,Vietnam,2016,na
VNM,Vietnam,2017,COICOP
VNM,Vietnam,2018,COICOP
VUT,Vanuatu,2016,na
VUT,Vanuatu,2017,"NA"
VUT,Vanuatu,2018,"NA"
WSM,Samoa,2016,COICOP
WSM,Samoa,2017,COICOP
WSM,Samoa,2018,COICOP
XKX,Kosovo,2016,COICOP
XKX,Kosovo,2017,COICOP
XKX,Kosovo,2018,COICOP
YEM,"Yemen, Rep.",2016,COICOP
YEM,"Yemen, Rep.",2017,COICOP
YEM,"Yemen, Rep.",2018,COICOP
ZAF,South Africa,2016,COICOP
ZAF,South Africa,2017,COICOP
ZAF,South Africa,2018,COICOP
ZMB,Zambia,2016,COICOP
ZMB,Zambia,2017,COICOP
ZMB,Zambia,2018,COICOP
ZWE,Zimbabwe,2016,COICOP
ZWE,Zimbabwe,2017,COICOP
ZWE,Zimbabwe,2018,COICOP
