iso3c,country,date,MONY
DNK,Denmark,2016,MFSM 2000
DNK,Denmark,2017,MFSM 2000
DNK,Denmark,2018,MFSM 2000
DOM,Dominican Republic,2016,MFSM 2000
DOM,Dominican Republic,2017,MFSM 2000
DOM,Dominican Republic,2018,MFSM 2000
DZA,Algeria,2016,MFSM 2000
DZA,Algeria,2017,MFSM 2000
DZA,Algeria,2018,MFSM 2000
ECU,Ecuador,2016,MFSM 2000
ECU,Ecuador,2017,MFSM 2000
ECU,Ecuador,2018,MFSM 2000
EGY,"Egypt, Arab Rep.",2016,MFSM 2000
EGY,"Egypt, Arab Rep.",2017,MFSM 2000
EGY,"Egypt, Arab Rep.",2018,MFSM 2000
ERI,Eritrea,2016,MFSM 2000
ERI,Eritrea,2017,MFSM 2000
ERI,Eritrea,2018,MFSM 2000
ESP,Spain,2016,MFSM 2000
ESP,Spain,2017,MFSM 2000
ESP,Spain,2018,MFSM 2000
EST,Estonia,2016,MFSM 2000
EST,Estonia,2017,MFSM 2000
EST,Estonia,2018,MFSM 2000
ETH,Ethiopia,2016,0
ETH,Ethiopia,2017,NM
ETH,Ethiopia,2018,NM
FIN,Finland,2016,MFSM 2000
FIN,Finland,2017,MFSM 2000
FIN,Finland,2018,MFSM 2000
FJI,Fiji,2016,MFSM 2000
FJI,Fiji,2017,MFSM 2000
FJI,Fiji,2018,MFSM 2000
FRA,France,2016,MFSM 2000
FRA,France,2017,MFSM 2000
FRA,France,2018,MFSM 2000
FSM,"Micronesia, Fed. Sts.",2016,0
FSM,"Micronesia, Fed. Sts.",2017,NM
FSM,"Micronesia, Fed. Sts.",2018,NM
GAB,Gabon,2016,MFSM 2000
GAB,Gabon,2017,MFSM 2000
GAB,Gabon,2018,MFSM 2000
GBR,United Kingdom,2016,0
GBR,United Kingdom,2017,NM
GBR,United Kingdom,2018,NM
GEO,Georgia,2016,MFSM 2000
GEO,Georgia,2017,MFSM 2000
GEO,Georgia,2018,MFSM 2000
GHA,Ghana,2016,MFSM 2000
GHA,Ghana,2017,MFSM 2000
GHA,Ghana,2018,MFSM 2000
GIN,Guinea,2016,0
GIN,Guinea,2017,NM
GIN,Guinea,2018,NM
GMB,"Gambia, The",2016,MFSM 2000
GMB,"Gambia, The",2017,MFSM 2000
GMB,"Gambia, The",2018,MFSM 2000
GNB,Guinea-Bissau,2016,0
GNB,Guinea-Bissau,2017,MFSM 2000
GNB,Guinea-Bissau,2018,MFSM 2000
GNQ,Equatorial Guinea,2016,MFSM 2000
GNQ,Equatorial Guinea,2017,MFSM 2000
GNQ,Equatorial Guinea,2018,MFSM 2000
GRC,Greece,2016,MFSM 2000
GRC,Greece,2017,MFSM 2000
GRC,Greece,2018,MFSM 2000
GRD,Grenada,2016,MFSM 2000
GRD,Grenada,2017,MFSM 2000
GRD,Grenada,2018,MFSM 2000
GTM,Guatemala,2016,MFSM 2000
GTM,Guatemala,2017,MFSM 2000
GTM,Guatemala,2018,MFSM 2000
GUY,Guyana,2016,MFSM 2000
GUY,Guyana,2017,MFSM 2000
GUY,Guyana,2018,MFSM 2000
HND,Honduras,2016,MFSM 2000
HND,Honduras,2017,MFSM 2000
HND,Honduras,2018,MFSM 2000
HRV,Croatia,2016,MFSM 2000
HRV,Croatia,2017,MFSM 2000
HRV,Croatia,2018,MFSM 2000
HTI,Haiti,2016,MFSM 2000
HTI,Haiti,2017,MFSM 2000
HTI,Haiti,2018,MFSM 2000
HUN,Hungary,2016,MFSM 2000
HUN,Hungary,2017,MFSM 2000
HUN,Hungary,2018,MFSM 2000
IDN,Indonesia,2016,MFSM 2000
IDN,Indonesia,2017,MFSM 2000
IDN,Indonesia,2018,MFSM 2000
IND,India,2016,0
IND,India,2017,NM
IND,India,2018,NM
IRL,Ireland,2016,MFSM 2000
IRL,Ireland,2017,MFSM 2000
IRL,Ireland,2018,MFSM 2000
IRN,"Iran, Islamic Rep.",2016,0
IRN,"Iran, Islamic Rep.",2017,NM
IRN,"Iran, Islamic Rep.",2018,NM
IRQ,Iraq,2016,MFSM 2000
IRQ,Iraq,2017,MFSM 2000
IRQ,Iraq,2018,MFSM 2000
ISL,Iceland,2016,MFSM 2000
ISL,Iceland,2017,MFSM 2000
ISL,Iceland,2018,MFSM 2000
ISR,Israel,2016,MFSM 2000
ISR,Israel,2017,MFSM 2000
ISR,Israel,2018,MFSM 2000
ITA,Italy,2016,MFSM 2000
ITA,Italy,2017,MFSM 2000
ITA,Italy,2018,MFSM 2000
JAM,Jamaica,2016,MFSM 2000
JAM,Jamaica,2017,MFSM 2000
JAM,Jamaica,2018,MFSM 2000
JOR,Jordan,2016,0
JOR,Jordan,2017,NM
JOR,Jordan,2018,NM
JPN,Japan,2016,MFSM 2000
JPN,Japan,2017,MFSM 2000
JPN,Japan,2018,MFSM 2000
KAZ,Kazakhstan,2016,MFSM 2000
KAZ,Kazakhstan,2017,MFSM 2000
KAZ,Kazakhstan,2018,MFSM 2000
KEN,Kenya,2016,MFSM 2000
KEN,Kenya,2017,MFSM 2000
KEN,Kenya,2018,MFSM 2000
KGZ,Kyrgyz Republic,2016,MFSM 2000
KGZ,Kyrgyz Republic,2017,MFSM 2000
KGZ,Kyrgyz Republic,2018,MFSM 2000
KHM,Cambodia,2016,MFSM 2000
KHM,Cambodia,2017,MFSM 2000
KHM,Cambodia,2018,MFSM 2000
KIR,Kiribati,2016,0
KIR,Kiribati,2017,NM
KIR,Kiribati,2018,NM
KNA,St. Kitts and Nevis,2016,MFSM 2000
KNA,St. Kitts and Nevis,2017,MFSM 2000
KNA,St. Kitts and Nevis,2018,MFSM 2000
KOR,"Korea, Rep.",2016,MFSM 2000
KOR,"Korea, Rep.",2017,MFSM 2000
KOR,"Korea, Rep.",2018,MFSM 2000
KWT,Kuwait,2016,MFSM 2000
KWT,Kuwait,2017,MFSM 2000
KWT,Kuwait,2018,MFSM 2000
LAO,Lao PDR,2016,0
LAO,Lao PDR,2017,NM
LAO,Lao PDR,2018,NM
LBN,Lebanon,2016,0
LBN,Lebanon,2017,NM
LBN,Lebanon,2018,NM
LBR,Liberia,2016,0
LBR,Liberia,2017,NM
LBR,Liberia,2018,NM
LBY,Libya,2016,0
LBY,Libya,2017,NM
LBY,Libya,2018,NM
LCA,St. Lucia,2016,MFSM 2000
LCA,St. Lucia,2017,MFSM 2000
LCA,St. Lucia,2018,MFSM 2000
LKA,Sri Lanka,2016,0
LKA,Sri Lanka,2017,MFSM 2000
LKA,Sri Lanka,2018,MFSM 2000
LSO,Lesotho,2016,MFSM 2000
LSO,Lesotho,2017,MFSM 2000
LSO,Lesotho,2018,MFSM 2000
LTU,Lithuania,2016,MFSM 2000
LTU,Lithuania,2017,MFSM 2000
LTU,Lithuania,2018,MFSM 2000
LUX,Luxembourg,2016,MFSM 2000
LUX,Luxembourg,2017,MFSM 2000
LUX,Luxembourg,2018,MFSM 2000
LVA,Latvia,2016,MFSM 2000
LVA,Latvia,2017,MFSM 2000
LVA,Latvia,2018,MFSM 2000
MAR,Morocco,2016,MFSM 2000
MAR,Morocco,2017,MFSM 2000
MAR,Morocco,2018,MFSM 2000
MDA,Moldova,2016,MFSM 2000
MDA,Moldova,2017,MFSM 2000
MDA,Moldova,2018,MFSM 2000
MDG,Madagascar,2016,0
MDG,Madagascar,2017,MFSMCG 2016
MDG,Madagascar,2018,MFSMCG 2016
MDV,Maldives,2016,MFSM 2000
MDV,Maldives,2017,MFSM 2000
MDV,Maldives,2018,MFSM 2000
MEX,Mexico,2016,MFSM 2000
MEX,Mexico,2017,MFSM 2000
MEX,Mexico,2018,MFSMCG 2016
MHL,Marshall Islands,2016,0
MHL,Marshall Islands,2017,NM
MHL,Marshall Islands,2018,NM
MKD,"Macedonia, FYR",2016,0
MKD,"Macedonia, FYR",2017,MFSM 2000
MKD,"Macedonia, FYR",2018,MFSM 2000
MLI,Mali,2016,0
MLI,Mali,2017,MFSM 2000
MLI,Mali,2018,MFSM 2000
MLT,Malta,2016,MFSM 2000
MLT,Malta,2017,MFSM 2000
MLT,Malta,2018,MFSM 2000
MMR,Myanmar,2016,MFSM 2000
MMR,Myanmar,2017,MFSM 2000
MMR,Myanmar,2018,MFSM 2000
MNE,Montenegro,2016,0
MNE,Montenegro,2017,NM
MNE,Montenegro,2018,NM
MNG,Mongolia,2016,MFSM 2000
MNG,Mongolia,2017,MFSM 2000
MNG,Mongolia,2018,MFSM 2000
MOZ,Mozambique,2016,MFSM 2000
MOZ,Mozambique,2017,MFSM 2000
MOZ,Mozambique,2018,MFSM 2000
MRT,Mauritania,2016,0
MRT,Mauritania,2017,NM
MRT,Mauritania,2018,NM
MUS,Mauritius,2016,MFSM 2000
MUS,Mauritius,2017,MFSM 2000
MUS,Mauritius,2018,MFSM 2000
MWI,Malawi,2016,0
MWI,Malawi,2017,NM
MWI,Malawi,2018,NM
MYS,Malaysia,2016,MFSM 2000
MYS,Malaysia,2017,MFSM 2000
MYS,Malaysia,2018,MFSM 2000
NAM,Namibia,2016,MFSM 2000
NAM,Namibia,2017,MFSM 2000
NAM,Namibia,2018,MFSM 2000
NER,Niger,2016,0
NER,Niger,2017,MFSM 2000
NER,Niger,2018,MFSM 2000
NGA,Nigeria,2016,MFSM 2000
NGA,Nigeria,2017,MFSM 2000
NGA,Nigeria,2018,MFSM 2000
NIC,Nicaragua,2016,MFSM 2000
NIC,Nicaragua,2017,MFSM 2000
NIC,Nicaragua,2018,MFSM 2000
NLD,Netherlands,2016,MFSM 2000
NLD,Netherlands,2017,MFSM 2000
NLD,Netherlands,2018,MFSM 2000
NOR,Norway,2016,0
NOR,Norway,2017,MFSM 2000
NOR,Norway,2018,MFSM 2000
NPL,Nepal,2016,MFSM 2000
NPL,Nepal,2017,MFSM 2000
NPL,Nepal,2018,MFSM 2000
NRU,Nauru,2016,0
NRU,Nauru,2017,"NA"
NRU,Nauru,2018,"NA"
NZL,New Zealand,2016,0
NZL,New Zealand,2017,MFSM 2000
NZL,New Zealand,2018,MFSM 2000
OMN,Oman,2016,MFSM 2000
OMN,Oman,2017,MFSM 2000
OMN,Oman,2018,MFSM 2000
PAK,Pakistan,2016,MFSM 2000
PAK,Pakistan,2017,MFSM 2000
PAK,Pakistan,2018,MFSM 2000
PAN,Panama,2016,MFSM 2000
PAN,Panama,2017,MFSM 2000
PAN,Panama,2018,MFSM 2000
PER,Peru,2016,0
PER,Peru,2017,NM
PER,Peru,2018,MFSM 2000
PHL,Philippines,2016,MFSM 2000
PHL,Philippines,2017,MFSM 2000
PHL,Philippines,2018,MFSM 2000
PLW,Palau,2016,0
PLW,Palau,2017,NM
PLW,Palau,2018,NM
PNG,Papua New Guinea,2016,MFSM 2000
PNG,Papua New Guinea,2017,MFSM 2000
PNG,Papua New Guinea,2018,MFSM 2000
POL,Poland,2016,MFSM 2000
POL,Poland,2017,MFSM 2000
POL,Poland,2018,MFSM 2000
PRT,Portugal,2016,MFSM 2000
PRT,Portugal,2017,MFSM 2000
PRT,Portugal,2018,MFSM 2000
PRY,Paraguay,2016,MFSM 2000
PRY,Paraguay,2017,MFSM 2000
PRY,Paraguay,2018,MFSM 2000
PSE,West Bank and Gaza,2016,MFSM 2000
PSE,West Bank and Gaza,2017,MFSM 2000
PSE,West Bank and Gaza,2018,MFSM 2000
QAT,Qatar,2016,MFSM 2000
QAT,Qatar,2017,MFSM 2000
QAT,Qatar,2018,MFSM 2000
ROU,Romania,2016,MFSM 2000
ROU,Romania,2017,MFSM 2000
ROU,Romania,2018,MFSM 2000
RUS,Russian Federation,2016,MFSM 2000
RUS,Russian Federation,2017,MFSM 2000
RUS,Russian Federation,2018,MFSM 2000
RWA,Rwanda,2016,0
RWA,Rwanda,2017,MFSM 2000
RWA,Rwanda,2018,MFSM 2000
SAU,Saudi Arabia,2016,0
SAU,Saudi Arabia,2017,NM
SAU,Saudi Arabia,2018,NM
SDN,Sudan,2016,MFSM 2000
SDN,Sudan,2017,MFSM 2000
SDN,Sudan,2018,MFSM 2000
SEN,Senegal,2016,0
SEN,Senegal,2017,MFSM 2000
SEN,Senegal,2018,MFSM 2000
SGP,Singapore,2016,0
SGP,Singapore,2017,NM
SGP,Singapore,2018,NM
SLB,Solomon Islands,2016,MFSM 2000
SLB,Solomon Islands,2017,MFSM 2000
SLB,Solomon Islands,2018,MFSM 2000
SLE,Sierra Leone,2016,MFSM 2000
SLE,Sierra Leone,2017,MFSM 2000
SLE,Sierra Leone,2018,MFSM 2000
SLV,El Salvador,2016,MFSM 2000
SLV,El Salvador,2017,MFSM 2000
SLV,El Salvador,2018,MFSM 2000
SMR,San Marino,2016,0
SMR,San Marino,2017,MFSM 2000
SMR,San Marino,2018,MFSM 2000
SOM,Somalia,2016,0
SOM,Somalia,2017,"NA"
SOM,Somalia,2018,"NA"
SRB,Serbia,2016,MFSM 2000
SRB,Serbia,2017,MFSM 2000
SRB,Serbia,2018,MFSM 2000
SSD,South Sudan,2016,MFSM 2000
SSD,South Sudan,2017,MFSM 2000
SSD,South Sudan,2018,MFSM 2000
STP,São Tomé and Principe,2016,MFSM 2000
STP,São Tomé and Principe,2017,MFSM 2000
STP,São Tomé and Principe,2018,MFSM 2000
SUR,Suriname,2016,MFSM 2000
SUR,Suriname,2017,MFSM 2000
SUR,Suriname,2018,MFSM 2000
SVK,Slovak Republic,2016,MFSM 2000
SVK,Slovak Republic,2017,MFSM 2000
SVK,Slovak Republic,2018,MFSM 2000
SVN,Slovenia,2016,MFSM 2000
SVN,Slovenia,2017,MFSM 2000
SVN,Slovenia,2018,MFSM 2000
SWE,Sweden,2016,MFSM 2000
SWE,Sweden,2017,MFSM 2000
SWE,Sweden,2018,MFSM 2000
SWZ,Eswatini,2016,MFSM 2000
SWZ,Eswatini,2017,MFSM 2000
SWZ,Eswatini,2018,MFSM 2000
SYC,Seychelles,2016,MFSM 2000
SYC,Seychelles,2017,MFSM 2000
SYC,Seychelles,2018,MFSM 2000
SYR,Syrian Arab Republic,2016,MFSM 2000
SYR,Syrian Arab Republic,2017,MFSM 2000
SYR,Syrian Arab Republic,2018,MFSM 2000
TCD,Chad,2016,MFSM 2000
TCD,Chad,2017,MFSM 2000
TCD,Chad,2018,MFSM 2000
TGO,Togo,2016,0
TGO,Togo,2017,MFSM 2000
TGO,Togo,2018,MFSM 2000
THA,Thailand,2016,MFSM 2000
THA,Thailand,2017,MFSM 2000
THA,Thailand,2018,MFSM 2000
TJK,Tajikistan,2016,MFSM 2000
TJK,Tajikistan,2017,MFSM 2000
TJK,Tajikistan,2018,MFSM 2000
TKM,Turkmenistan,2016,na
TKM,Turkmenistan,2017,"NA"
TKM,Turkmenistan,2018,"NA"
TLS,Timor-Leste,2016,MFSM 2000
TLS,Timor-Leste,2017,MFSM 2000
TLS,Timor-Leste,2018,MFSM 2000
TON,Tonga,2016,MFSM 2000
TON,Tonga,2017,MFSM 2000
TON,Tonga,2018,MFSM 2000
TTO,Trinidad and Tobago,2016,MFSM 2000
TTO,Trinidad and Tobago,2017,MFSM 2000
TTO,Trinidad and Tobago,2018,MFSM 2000
TUN,Tunisia,2016,0
TUN,Tunisia,2017,NM
TUN,Tunisia,2018,MFSMCG 2016
TUR,Turkey,2016,0
TUR,Turkey,2017,MFSM 2000
TUR,Turkey,2018,MFSM 2000
TUV,Tuvalu,2016,0
TUV,Tuvalu,2017,NM
TUV,Tuvalu,2018,NM
TZA,Tanzania,2016,MFSM 2000
TZA,Tanzania,2017,MFSM 2000
TZA,Tanzania,2018,MFSM 2000
UGA,Uganda,2016,MFSM 2000
UGA,Uganda,2017,MFSM 2000
UGA,Uganda,2018,MFSM 2000
UKR,Ukraine,2016,MFSM 2000
UKR,Ukraine,2017,MFSM 2000
UKR,Ukraine,2018,MFSM 2000
URY,Uruguay,2016,MFSM 2000
URY,Uruguay,2017,MFSM 2000
URY,Uruguay,2018,MFSM 2000
USA,United States,2016,MFSM 2000
USA,United States,2017,MFSM 2000
USA,United States,2018,MFSM 2000
UZB,Uzbekistan,2016,na
UZB,Uzbekistan,2017,MFSM 2000
UZB,Uzbekistan,2018,MFSM 2000
VCT,St. Vincent and the Grenadines,2016,MFSM 2000
VCT,St. Vincent and the Grenadines,2017,MFSM 2000
VCT,St. Vincent and the Grenadines,2018,MFSM 2000
VEN,"Venezuela, RB",2016,MFSM 2000
VEN,"Venezuela, RB",2017,MFSM 2000
VEN,"Venezuela, RB",2018,MFSM 2000
VNM,Vietnam,2016,0
VNM,Vietnam,2017,NM
VNM,Vietnam,2018,NM
VUT,Vanuatu,2016,MFSM 2000
VUT,Vanuatu,2017,MFSM 2000
VUT,Vanuatu,2018,MFSM 2000
WSM,Samoa,2016,MFSM 2000
WSM,Samoa,2017,MFSM 2000
WSM,Samoa,2018,MFSM 2000
XKX,Kosovo,2016,MFSM 2000
XKX,Kosovo,2017,MFSM 2000
XKX,Kosovo,2018,MFSM 2000
YEM,"Yemen, Rep.",2016,0
YEM,"Yemen, Rep.",2017,NM
YEM,"Yemen, Rep.",2018,NM
ZAF,South Africa,2016,MFSM 2000
ZAF,South Africa,2017,MFSM 2000
ZAF,South Africa,2018,MFSM 2000
ZMB,Zambia,2016,MFSM 2000
ZMB,Zambia,2017,MFSM 2000
ZMB,Zambia,2018,MFSM 2000
ZWE,Zimbabwe,2016,0
ZWE,Zimbabwe,2017,NM
ZWE,Zimbabwe,2018,MFSMCG 2016
