iso3c,country,date,IDDS
COM,Comoros,2017,e-GDDS
COM,Comoros,2018,e-GDDS
COM,Comoros,2019,e-GDDS
CPV,Cabo Verde,2016,e-GDDS
CPV,Cabo Verde,2017,e-GDDS
CPV,Cabo Verde,2018,e-GDDS
CPV,Cabo Verde,2019,e-GDDS
CRI,Costa Rica,2016,SDDS
CRI,Costa Rica,2017,SDDS
CRI,Costa Rica,2018,SDDS
CRI,Costa Rica,2019,SDDS
CYP,Cyprus,2016,SDDS
CYP,Cyprus,2017,SDDS
CYP,Cyprus,2018,SDDS
CZE,Czech Republic,2016,SDDS Plus
CZE,Czech Republic,2017,SDDS Plus
CZE,Czech Republic,2018,SDDS Plus
DEU,Germany,2016,SDDS Plus
DEU,Germany,2017,SDDS Plus
DEU,Germany,2018,SDDS Plus
DJI,Djibouti,2016,e-GDDS
DJI,Djibouti,2017,e-GDDS
DJI,Djibouti,2018,e-GDDS
DJI,Djibouti,2019,e-GDDS
DMA,Dominica,2016,e-GDDS
DMA,Dominica,2017,e-GDDS
DMA,Dominica,2018,e-GDDS
DMA,Dominica,2019,e-GDDS
DNK,Denmark,2016,SDDS Plus
DNK,Denmark,2017,SDDS Plus
DNK,Denmark,2018,SDDS Plus
DOM,Dominican Republic,2016,e-GDDS
DOM,Dominican Republic,2017,e-GDDS
DOM,Dominican Republic,2018,e-GDDS
DOM,Dominican Republic,2019,e-GDDS
DZA,Algeria,2016,e-GDDS
DZA,Algeria,2017,e-GDDS
DZA,Algeria,2018,e-GDDS
DZA,Algeria,2019,e-GDDS
ECU,Ecuador,2016,SDDS
ECU,Ecuador,2017,SDDS
ECU,Ecuador,2018,SDDS
ECU,Ecuador,2019,SDDS
EGY,"Egypt, Arab Rep.",2016,SDDS
EGY,"Egypt, Arab Rep.",2017,SDDS
EGY,"Egypt, Arab Rep.",2018,SDDS
EGY,"Egypt, Arab Rep.",2019,SDDS
ERI,Eritrea,2016,0
ERI,Eritrea,2017,0
ERI,Eritrea,2018,0
ERI,Eritrea,2019,0
ESP,Spain,2016,SDDS Plus
ESP,Spain,2017,SDDS Plus
ESP,Spain,2018,SDDS Plus
EST,Estonia,2016,SDDS
EST,Estonia,2017,SDDS
EST,Estonia,2018,SDDS
ETH,Ethiopia,2016,e-GDDS
ETH,Ethiopia,2017,e-GDDS
ETH,Ethiopia,2018,e-GDDS
ETH,Ethiopia,2019,e-GDDS
FIN,Finland,2016,SDDS Plus
FIN,Finland,2017,SDDS Plus
FIN,Finland,2018,SDDS Plus
FJI,Fiji,2016,e-GDDS
FJI,Fiji,2017,e-GDDS
FJI,Fiji,2018,e-GDDS
FJI,Fiji,2019,e-GDDS
FRA,France,2016,SDDS Plus
FRA,France,2017,SDDS Plus
FRA,France,2018,SDDS Plus
FSM,"Micronesia, Fed. Sts.",2016,e-GDDS
FSM,"Micronesia, Fed. Sts.",2017,e-GDDS
FSM,"Micronesia, Fed. Sts.",2018,e-GDDS
FSM,"Micronesia, Fed. Sts.",2019,e-GDDS
GAB,Gabon,2016,e-GDDS
GAB,Gabon,2017,e-GDDS
GAB,Gabon,2018,e-GDDS
GAB,Gabon,2019,e-GDDS
GBR,United Kingdom,2016,SDDS
GBR,United Kingdom,2017,SDDS
GBR,United Kingdom,2018,SDDS
GEO,Georgia,2016,SDDS
GEO,Georgia,2017,SDDS
GEO,Georgia,2018,SDDS
GEO,Georgia,2019,SDDS
GHA,Ghana,2016,e-GDDS
GHA,Ghana,2017,e-GDDS
GHA,Ghana,2018,e-GDDS
GHA,Ghana,2019,e-GDDS
GIN,Guinea,2016,e-GDDS
GIN,Guinea,2017,e-GDDS
GIN,Guinea,2018,e-GDDS
GIN,Guinea,2019,e-GDDS
GMB,"Gambia, The",2016,e-GDDS
GMB,"Gambia, The",2017,e-GDDS
GMB,"Gambia, The",2018,e-GDDS
GMB,"Gambia, The",2019,e-GDDS
GNB,Guinea-Bissau,2016,e-GDDS
GNB,Guinea-Bissau,2017,e-GDDS
GNB,Guinea-Bissau,2018,e-GDDS
GNB,Guinea-Bissau,2019,e-GDDS
GNQ,Equatorial Guinea,2016,0
GNQ,Equatorial Guinea,2017,e-GDDS
GNQ,Equatorial Guinea,2018,e-GDDS
GNQ,Equatorial Guinea,2019,e-GDDS
GRC,Greece,2016,SDDS
GRC,Greece,2017,SDDS
GRC,Greece,2018,SDDS
GRD,Grenada,2016,e-GDDS
GRD,Grenada,2017,e-GDDS
GRD,Grenada,2018,e-GDDS
GRD,Grenada,2019,e-GDDS
GTM,Guatemala,2016,e-GDDS
GTM,Guatemala,2017,e-GDDS
GTM,Guatemala,2018,e-GDDS
GTM,Guatemala,2019,e-GDDS
GUY,Guyana,2016,e-GDDS
GUY,Guyana,2017,e-GDDS
GUY,Guyana,2018,e-GDDS
GUY,Guyana,2019,e-GDDS
HND,Honduras,2016,e-GDDS
HND,Honduras,2017,e-GDDS
HND,Honduras,2018,e-GDDS
HND,Honduras,2019,e-GDDS
HRV,Croatia,2016,SDDS
HRV,Croatia,2017,SDDS
HRV,Croatia,2018,SDDS
HRV,Croatia,2019,SDDS
HTI,Haiti,2016,e-GDDS
HTI,Haiti,2017,e-GDDS
HTI,Haiti,2018,e-GDDS
HTI,Haiti,2019,e-GDDS
HUN,Hungary,2016,SDDS
HUN,Hungary,2017,SDDS
HUN,Hungary,2018,SDDS
IDN,Indonesia,2016,SDDS
IDN,Indonesia,2017,SDDS
IDN,Indonesia,2018,SDDS
IDN,Indonesia,2019,SDDS
IND,India,2016,SDDS
IND,India,2017,SDDS
IND,India,2018,SDDS
IND,India,2019,SDDS
IRL,Ireland,2016,SDDS
IRL,Ireland,2017,SDDS
IRL,Ireland,2018,SDDS
IRN,"Iran, Islamic Rep.",2016,e-GDDS
IRN,"Iran, Islamic Rep.",2017,e-GDDS
IRN,"Iran, Islamic Rep.",2018,e-GDDS
IRN,"Iran, Islamic Rep.",2019,e-GDDS
IRQ,Iraq,2016,e-GDDS
IRQ,Iraq,2017,e-GDDS
IRQ,Iraq,2018,e-GDDS
IRQ,Iraq,2019,e-GDDS
ISL,Iceland,2016,SDDS
ISL,Iceland,2017,SDDS
ISL,Iceland,2018,SDDS
ISR,Israel,2016,SDDS
ISR,Israel,2017,SDDS
ISR,Israel,2018,SDDS
ITA,Italy,2016,SDDS Plus
ITA,Italy,2017,SDDS Plus
ITA,Italy,2018,SDDS Plus
JAM,Jamaica,2016,e-GDDS
JAM,Jamaica,2017,e-GDDS
JAM,Jamaica,2018,e-GDDS
JAM,Jamaica,2019,e-GDDS
JOR,Jordan,2016,SDDS
JOR,Jordan,2017,SDDS
JOR,Jordan,2018,SDDS
JOR,Jordan,2019,SDDS
JPN,Japan,2016,SDDS Plus
JPN,Japan,2017,SDDS Plus
JPN,Japan,2018,SDDS Plus
KAZ,Kazakhstan,2016,SDDS
KAZ,Kazakhstan,2017,SDDS
KAZ,Kazakhstan,2018,SDDS
KAZ,Kazakhstan,2019,SDDS
KEN,Kenya,2016,e-GDDS
KEN,Kenya,2017,e-GDDS
KEN,Kenya,2018,e-GDDS
KEN,Kenya,2019,e-GDDS
KGZ,Kyrgyz Republic,2016,SDDS
KGZ,Kyrgyz Republic,2017,SDDS
KGZ,Kyrgyz Republic,2018,SDDS
KGZ,Kyrgyz Republic,2019,SDDS
KHM,Cambodia,2016,e-GDDS
KHM,Cambodia,2017,e-GDDS
KHM,Cambodia,2018,e-GDDS
KHM,Cambodia,2019,e-GDDS
KIR,Kiribati,2016,e-GDDS
KIR,Kiribati,2017,e-GDDS
KIR,Kiribati,2018,e-GDDS
KIR,Kiribati,2019,e-GDDS
KNA,St. Kitts and Nevis,2016,e-GDDS
KNA,St. Kitts and Nevis,2017,e-GDDS
KNA,St. Kitts and Nevis,2018,e-GDDS
KNA,St. Kitts and Nevis,2019,e-GDDS
KOR,"Korea, Rep.",2016,SDDS
KOR,"Korea, Rep.",2017,SDDS
KOR,"Korea, Rep.",2018,SDDS
KWT,Kuwait,2016,e-GDDS
KWT,Kuwait,2017,e-GDDS
KWT,Kuwait,2018,e-GDDS
LAO,Lao PDR,2016,0
LAO,Lao PDR,2017,e-GDDS
LAO,Lao PDR,2018,e-GDDS
LAO,Lao PDR,2019,e-GDDS
LBN,Lebanon,2016,e-GDDS
LBN,Lebanon,2017,e-GDDS
LBN,Lebanon,2018,e-GDDS
LBN,Lebanon,2019,e-GDDS
LBR,Liberia,2016,e-GDDS
LBR,Liberia,2017,e-GDDS
LBR,Liberia,2018,e-GDDS
LBR,Liberia,2019,e-GDDS
LBY,Libya,2016,e-GDDS
LBY,Libya,2017,e-GDDS
LBY,Libya,2018,e-GDDS
LBY,Libya,2019,e-GDDS
LCA,St. Lucia,2016,e-GDDS
LCA,St. Lucia,2017,e-GDDS
LCA,St. Lucia,2018,e-GDDS
LCA,St. Lucia,2019,e-GDDS
LKA,Sri Lanka,2016,SDDS
LKA,Sri Lanka,2017,SDDS
LKA,Sri Lanka,2018,SDDS
LKA,Sri Lanka,2019,SDDS
LSO,Lesotho,2016,e-GDDS
LSO,Lesotho,2017,e-GDDS
LSO,Lesotho,2018,e-GDDS
LSO,Lesotho,2019,e-GDDS
LTU,Lithuania,2016,SDDS Plus
LTU,Lithuania,2017,SDDS Plus
LTU,Lithuania,2018,SDDS Plus
LUX,Luxembourg,2016,SDDS
LUX,Luxembourg,2017,SDDS
LUX,Luxembourg,2018,SDDS
LVA,Latvia,2016,SDDS Plus
LVA,Latvia,2017,SDDS Plus
LVA,Latvia,2018,SDDS Plus
MAR,Morocco,2016,SDDS
MAR,Morocco,2017,SDDS
MAR,Morocco,2018,SDDS
MAR,Morocco,2019,SDDS
MDA,Moldova,2016,SDDS
MDA,Moldova,2017,SDDS
MDA,Moldova,2018,SDDS
MDA,Moldova,2019,SDDS
MDG,Madagascar,2016,e-GDDS
MDG,Madagascar,2017,e-GDDS
MDG,Madagascar,2018,e-GDDS
MDG,Madagascar,2019,e-GDDS
MDV,Maldives,2016,e-GDDS
MDV,Maldives,2017,e-GDDS
MDV,Maldives,2018,e-GDDS
MDV,Maldives,2019,e-GDDS
MEX,Mexico,2016,SDDS
MEX,Mexico,2017,SDDS
MEX,Mexico,2018,SDDS
MEX,Mexico,2019,SDDS
MHL,Marshall Islands,2016,e-GDDS
MHL,Marshall Islands,2017,e-GDDS
MHL,Marshall Islands,2018,e-GDDS
MHL,Marshall Islands,2019,e-GDDS
MKD,"Macedonia, FYR",2016,SDDS
MKD,"Macedonia, FYR",2017,SDDS Plus
MKD,"Macedonia, FYR",2018,SDDS Plus
MKD,"Macedonia, FYR",2019,SDDS Plus
MLI,Mali,2016,e-GDDS
MLI,Mali,2017,e-GDDS
MLI,Mali,2018,e-GDDS
MLI,Mali,2019,e-GDDS
MLT,Malta,2016,SDDS
MLT,Malta,2017,SDDS
MLT,Malta,2018,SDDS
MMR,Myanmar,2016,e-GDDS
MMR,Myanmar,2017,e-GDDS
MMR,Myanmar,2018,e-GDDS
MMR,Myanmar,2019,e-GDDS
MNE,Montenegro,2016,e-GDDS
MNE,Montenegro,2017,e-GDDS
MNE,Montenegro,2018,e-GDDS
MNE,Montenegro,2019,e-GDDS
MNG,Mongolia,2016,e-GDDS
MNG,Mongolia,2017,SDDS
MNG,Mongolia,2018,SDDS
MNG,Mongolia,2019,SDDS
MOZ,Mozambique,2016,e-GDDS
MOZ,Mozambique,2017,e-GDDS
MOZ,Mozambique,2018,e-GDDS
MOZ,Mozambique,2019,e-GDDS
MRT,Mauritania,2016,e-GDDS
MRT,Mauritania,2017,e-GDDS
MRT,Mauritania,2018,e-GDDS
MRT,Mauritania,2019,e-GDDS
MUS,Mauritius,2016,SDDS
MUS,Mauritius,2017,SDDS
MUS,Mauritius,2018,SDDS
MUS,Mauritius,2019,SDDS
MWI,Malawi,2016,e-GDDS
MWI,Malawi,2017,e-GDDS
MWI,Malawi,2018,e-GDDS
MWI,Malawi,2019,e-GDDS
MYS,Malaysia,2016,SDDS
MYS,Malaysia,2017,SDDS
MYS,Malaysia,2018,SDDS
MYS,Malaysia,2019,SDDS
NAM,Namibia,2016,e-GDDS
NAM,Namibia,2017,e-GDDS
NAM,Namibia,2018,e-GDDS
NAM,Namibia,2019,e-GDDS
NER,Niger,2016,e-GDDS
NER,Niger,2017,e-GDDS
NER,Niger,2018,e-GDDS
NER,Niger,2019,e-GDDS
NGA,Nigeria,2016,e-GDDS
NGA,Nigeria,2017,e-GDDS
NGA,Nigeria,2018,e-GDDS
NGA,Nigeria,2019,e-GDDS
NIC,Nicaragua,2016,e-GDDS
NIC,Nicaragua,2017,e-GDDS
NIC,Nicaragua,2018,e-GDDS
NIC,Nicaragua,2019,e-GDDS
NLD,Netherlands,2016,SDDS Plus
NLD,Netherlands,2017,SDDS Plus
NLD,Netherlands,2018,SDDS Plus
NOR,Norway,2016,SDDS
NOR,Norway,2017,SDDS
NOR,Norway,2018,SDDS
NPL,Nepal,2016,e-GDDS
NPL,Nepal,2017,e-GDDS
NPL,Nepal,2018,e-GDDS
NPL,Nepal,2019,e-GDDS
NRU,Nauru,2016,0
NRU,Nauru,2017,0
NRU,Nauru,2018,0
NRU,Nauru,2019,0
NZL,New Zealand,2016,0
NZL,New Zealand,2017,0
NZL,New Zealand,2018,0
OMN,Oman,2016,e-GDDS
OMN,Oman,2017,e-GDDS
OMN,Oman,2018,e-GDDS
PAK,Pakistan,2016,e-GDDS
PAK,Pakistan,2017,e-GDDS
PAK,Pakistan,2018,e-GDDS
PAK,Pakistan,2019,e-GDDS
PAN,Panama,2016,e-GDDS
PAN,Panama,2017,e-GDDS
PAN,Panama,2018,e-GDDS
PAN,Panama,2019,e-GDDS
PER,Peru,2016,SDDS
PER,Peru,2017,SDDS
PER,Peru,2018,SDDS
PER,Peru,2019,SDDS
PHL,Philippines,2016,SDDS
PHL,Philippines,2017,SDDS
PHL,Philippines,2018,SDDS
PHL,Philippines,2019,SDDS
PLW,Palau,2016,e-GDDS
PLW,Palau,2017,e-GDDS
PLW,Palau,2018,e-GDDS
PLW,Palau,2019,e-GDDS
PNG,Papua New Guinea,2016,e-GDDS
PNG,Papua New Guinea,2017,e-GDDS
PNG,Papua New Guinea,2018,e-GDDS
PNG,Papua New Guinea,2019,e-GDDS
POL,Poland,2016,SDDS
POL,Poland,2017,SDDS
POL,Poland,2018,SDDS
POL,Poland,2019,SDDS
PRT,Portugal,2016,SDDS Plus
PRT,Portugal,2017,SDDS Plus
PRT,Portugal,2018,SDDS Plus
PRY,Paraguay,2016,e-GDDS
PRY,Paraguay,2017,e-GDDS
PRY,Paraguay,2018,e-GDDS
PRY,Paraguay,2019,e-GDDS
PSE,West Bank and Gaza,2016,SDDS
PSE,West Bank and Gaza,2017,SDDS
PSE,West Bank and Gaza,2018,SDDS
PSE,West Bank and Gaza,2019,SDDS
QAT,Qatar,2016,e-GDDS
QAT,Qatar,2017,e-GDDS
QAT,Qatar,2018,e-GDDS
ROU,Romania,2016,SDDS
ROU,Romania,2017,SDDS
ROU,Romania,2018,SDDS
ROU,Romania,2019,SDDS Plus
RUS,Russian Federation,2016,SDDS
RUS,Russian Federation,2017,SDDS
RUS,Russian Federation,2018,SDDS
RUS,Russian Federation,2019,SDDS
RWA,Rwanda,2016,e-GDDS
RWA,Rwanda,2017,e-GDDS
RWA,Rwanda,2018,e-GDDS
RWA,Rwanda,2019,e-GDDS
SAU,Saudi Arabia,2016,e-GDDS
SAU,Saudi Arabia,2017,e-GDDS
SAU,Saudi Arabia,2018,e-GDDS
SDN,Sudan,2016,e-GDDS
SDN,Sudan,2017,e-GDDS
SDN,Sudan,2018,e-GDDS
SDN,Sudan,2019,e-GDDS
SEN,Senegal,2016,e-GDDS
SEN,Senegal,2017,SDDS
SEN,Senegal,2018,SDDS
SEN,Senegal,2019,SDDS
SGP,Singapore,2016,SDDS
SGP,Singapore,2017,SDDS
SGP,Singapore,2018,SDDS
SLB,Solomon Islands,2016,e-GDDS
SLB,Solomon Islands,2017,e-GDDS
SLB,Solomon Islands,2018,e-GDDS
SLB,Solomon Islands,2019,e-GDDS
SLE,Sierra Leone,2016,e-GDDS
SLE,Sierra Leone,2017,e-GDDS
SLE,Sierra Leone,2018,e-GDDS
SLE,Sierra Leone,2019,e-GDDS
SLV,El Salvador,2016,SDDS
SLV,El Salvador,2017,SDDS
SLV,El Salvador,2018,SDDS
SLV,El Salvador,2019,SDDS
SMR,San Marino,2016,e-GDDS
SMR,San Marino,2017,e-GDDS
SMR,San Marino,2018,e-GDDS
SOM,Somalia,2016,0
SOM,Somalia,2017,0
SOM,Somalia,2018,0
SOM,Somalia,2019,0
SRB,Serbia,2016,e-GDDS
SRB,Serbia,2017,e-GDDS
SRB,Serbia,2018,e-GDDS
SRB,Serbia,2019,e-GDDS
SSD,South Sudan,2016,0
SSD,South Sudan,2017,0
SSD,South Sudan,2018,0
SSD,South Sudan,2019,0
STP,São Tomé and Principe,2016,e-GDDS
STP,São Tomé and Principe,2017,e-GDDS
STP,São Tomé and Principe,2018,e-GDDS
STP,São Tomé and Principe,2019,e-GDDS
SUR,Suriname,2016,e-GDDS
SUR,Suriname,2017,e-GDDS
SUR,Suriname,2018,e-GDDS
SUR,Suriname,2019,e-GDDS
SVK,Slovak Republic,2016,SDDS
SVK,Slovak Republic,2017,SDDS
SVK,Slovak Republic,2018,SDDS
SVN,Slovenia,2016,SDDS
SVN,Slovenia,2017,SDDS
SVN,Slovenia,2018,SDDS
SWE,Sweden,2016,SDDS Plus
SWE,Sweden,2017,SDDS Plus
SWE,Sweden,2018,SDDS Plus
SWZ,Eswatini,2016,e-GDDS
SWZ,Eswatini,2017,e-GDDS
SWZ,Eswatini,2018,e-GDDS
SWZ,Eswatini,2019,e-GDDS
SYC,Seychelles,2016,SDDS
SYC,Seychelles,2017,SDDS
SYC,Seychelles,2018,SDDS
SYC,Seychelles,2019,SDDS
SYR,Syrian Arab Republic,2016,e-GDDS
SYR,Syrian Arab Republic,2017,e-GDDS
SYR,Syrian Arab Republic,2018,e-GDDS
SYR,Syrian Arab Republic,2019,e-GDDS
TCD,Chad,2016,e-GDDS
TCD,Chad,2017,e-GDDS
TCD,Chad,2018,e-GDDS
TCD,Chad,2019,e-GDDS
TGO,Togo,2016,e-GDDS
TGO,Togo,2017,e-GDDS
TGO,Togo,2018,e-GDDS
TGO,Togo,2019,e-GDDS
THA,Thailand,2016,SDDS
THA,Thailand,2017,SDDS
THA,Thailand,2018,SDDS
THA,Thailand,2019,SDDS
TJK,Tajikistan,2016,e-GDDS
TJK,Tajikistan,2017,e-GDDS
TJK,Tajikistan,2018,e-GDDS
TJK,Tajikistan,2019,e-GDDS
TKM,Turkmenistan,2016,na
TKM,Turkmenistan,2017,0
TKM,Turkmenistan,2018,0
TKM,Turkmenistan,2019,0
TLS,Timor-Leste,2016,e-GDDS
TLS,Timor-Leste,2017,e-GDDS
TLS,Timor-Leste,2018,e-GDDS
TLS,Timor-Leste,2019,e-GDDS
TON,Tonga,2016,e-GDDS
TON,Tonga,2017,e-GDDS
TON,Tonga,2018,e-GDDS
TON,Tonga,2019,e-GDDS
TTO,Trinidad and Tobago,2016,e-GDDS
TTO,Trinidad and Tobago,2017,e-GDDS
TTO,Trinidad and Tobago,2018,e-GDDS
TTO,Trinidad and Tobago,2019,e-GDDS
TUN,Tunisia,2016,SDDS
TUN,Tunisia,2017,SDDS
TUN,Tunisia,2018,SDDS
TUN,Tunisia,2019,SDDS
TUR,Turkey,2016,SDDS
TUR,Turkey,2017,SDDS
TUR,Turkey,2018,SDDS
TUR,Turkey,2019,SDDS
TUV,Tuvalu,2016,e-GDDS
TUV,Tuvalu,2017,e-GDDS
TUV,Tuvalu,2018,e-GDDS
TUV,Tuvalu,2019,e-GDDS
TZA,Tanzania,2016,e-GDDS
TZA,Tanzania,2017,e-GDDS
TZA,Tanzania,2018,e-GDDS
TZA,Tanzania,2019,e-GDDS
UGA,Uganda,2016,e-GDDS
UGA,Uganda,2017,e-GDDS
UGA,Uganda,2018,e-GDDS
UGA,Uganda,2019,e-GDDS
UKR,Ukraine,2016,SDDS
UKR,Ukraine,2017,SDDS
UKR,Ukraine,2018,SDDS
UKR,Ukraine,2019,SDDS
URY,Uruguay,2016,SDDS
URY,Uruguay,2017,SDDS
URY,Uruguay,2018,SDDS
URY,Uruguay,2019,SDDS
USA,United States,2016,SDDS Plus
USA,United States,2017,SDDS Plus
USA,United States,2018,SDDS Plus
UZB,Uzbekistan,2016,na
UZB,Uzbekistan,2017,e-GDDS
UZB,Uzbekistan,2018,e-GDDS
UZB,Uzbekistan,2019,e-GDDS
VCT,St. Vincent and the Grenadines,2016,e-GDDS
VCT,St. Vincent and the Grenadines,2017,e-GDDS
VCT,St. Vincent and the Grenadines,2018,e-GDDS
VCT,St. Vincent and the Grenadines,2019,e-GDDS
VEN,"Venezuela, RB",2016,e-GDDS
VEN,"Venezuela, RB",2017,e-GDDS
VEN,"Venezuela, RB",2018,e-GDDS
VEN,"Venezuela, RB",2019,e-GDDS
VNM,Vietnam,2016,e-GDDS
VNM,Vietnam,2017,e-GDDS
VNM,Vietnam,2018,e-GDDS
VNM,Vietnam,2019,e-GDDS
VUT,Vanuatu,2016,e-GDDS
VUT,Vanuatu,2017,e-GDDS
VUT,Vanuatu,2018,e-GDDS
VUT,Vanuatu,2019,e-GDDS
WSM,Samoa,2016,e-GDDS
WSM,Samoa,2017,e-GDDS
WSM,Samoa,2018,e-GDDS
WSM,Samoa,2019,e-GDDS
XKX,Kosovo,2016,e-GDDS
XKX,Kosovo,2017,e-GDDS
XKX,Kosovo,2018,e-GDDS
XKX,Kosovo,2019,e-GDDS
YEM,"Yemen, Rep.",2016,e-GDDS
YEM,"Yemen, Rep.",2017,e-GDDS
YEM,"Yemen, Rep.",2018,e-GDDS
YEM,"Yemen, Rep.",2019,e-GDDS
ZAF,South Africa,2016,SDDS
ZAF,South Africa,2017,SDDS
ZAF,South Africa,2018,SDDS
ZAF,South Africa,2019,SDDS
ZMB,Zambia,2016,e-GDDS
ZMB,Zambia,2017,e-GDDS
ZMB,Zambia,2018,e-GDDS
ZMB,Zambia,2019,e-GDDS
ZWE,Zimbabwe,2016,e-GDDS
