iso3c,country,SPI.OVRL.SCR_2016,SPI.OVRL.SCR_2017,SPI.OVRL.SCR_2018,SPI.OVRL.SCR_2019,SPI.D1.MSC_2016,SPI.D1.MSC_2017,SPI.D1.MSC_2018,SPI.D1.MSC_2019,SPI.D2.CS_2016,SPI.D2.CS_2017,SPI.D2.CS_2018,SPI.D2.CS_2019,SPI.D3.AKI_2016,SPI.D3.AKI_2017,SPI.D3.AKI_2018,SPI.D3.AKI_2019,SPI.D4.DPO_2016,SPI.D4.DPO_2017,SPI.D4.DPO_2018,SPI.D4.DPO_2019
AFG,Afghanistan,28.601190476190474,28.601190476190474,32.172619047619044,34.07738095238095,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,12.5,12.5,12.5,12.5,40,40,40,33.333333333333336,28.57142857142857,28.57142857142857,42.857142857142854,57.14285714285714
AGO,Angola,25.625,25.625,36.339285714285715,38.24404761904762,37.5,37.5,37.5,37.5,25,25,25,25,40,40,40,33.333333333333336,0,0,42.857142857142854,57.14285714285714
ALB,Albania,72.05357142857143,72.05357142857143,75,71.25,79.16666666666666,79.16666666666666,83.33333333333334,75,50,50,50,50,73.33333333333333,73.33333333333333,66.66666666666667,60,85.71428571428571,85.71428571428571,100,100
ARE,United Arab Emirates,NA,NA,NA,NA,50,58.333333333333336,58.333333333333336,NA,NA,NA,NA,NA,26.666666666666668,26.666666666666668,33.333333333333336,NA,42.857142857142854,42.857142857142854,42.857142857142854,NA
ARG,Argentina,56.81547619047619,56.81547619047619,56.81547619047619,62.291666666666664,45.83333333333333,45.83333333333333,45.83333333333333,45.83333333333333,50,50,50,50,60,60,60,53.333333333333336,71.42857142857143,71.42857142857143,71.42857142857143,100
ARM,Armenia,73.72023809523809,74.76190476190476,79.375,77.70833333333333,79.16666666666666,83.33333333333334,87.5,87.5,50,50,50,50,80,80,80,73.33333333333333,85.71428571428571,85.71428571428571,100,100
ATG,Antigua and Barbuda,20.416666666666664,18.541666666666668,15.416666666666668,14.791666666666666,33.33333333333333,29.166666666666668,29.166666666666668,33.33333333333333,25,25,12.5,12.5,23.333333333333332,20,20,13.333333333333334,0,0,0,0
AUS,Australia,NA,NA,NA,NA,95.83333333333334,100,100,NA,NA,NA,NA,NA,53.333333333333336,53.333333333333336,53.333333333333336,NA,100,100,100,NA
AUT,Austria,NA,NA,NA,NA,91.66666666666666,91.66666666666666,91.66666666666666,NA,NA,NA,NA,NA,66.66666666666667,66.66666666666667,66.66666666666667,NA,57.14285714285714,57.14285714285714,100,NA
AZE,Azerbaijan,62.26190476190476,62.67857142857143,68.33333333333333,66.66666666666666,62.5,70.83333333333334,79.16666666666666,79.16666666666666,37.5,37.5,37.5,37.5,63.333333333333336,56.666666666666664,56.666666666666664,50,85.71428571428571,85.71428571428571,100,100
BDI,Burundi,33.63095238095238,30.50595238095238,39.285714285714285,41.63690476190476,33.33333333333333,33.33333333333333,41.66666666666667,41.66666666666667,25,12.5,25,12.5,33.333333333333336,33.333333333333336,33.333333333333336,26.666666666666668,42.857142857142854,42.857142857142854,57.14285714285714,85.71428571428571
BEL,Belgium,NA,NA,NA,NA,87.5,87.5,87.5,NA,NA,NA,NA,NA,66.66666666666667,66.66666666666667,66.66666666666667,NA,57.14285714285714,57.14285714285714,85.71428571428571,NA
BEN,Benin,37.97619047619048,36.10119047619048,46.81547619047619,40.98214285714286,20.833333333333336,29.166666666666668,29.166666666666668,25,62.5,50,50,37.5,40,36.666666666666664,36.666666666666664,30,28.57142857142857,28.57142857142857,71.42857142857143,71.42857142857143
BFA,Burkina Faso,36.339285714285715,35.297619047619044,35.74404761904762,37.20238095238095,25,33.33333333333333,33.33333333333333,33.33333333333333,37.5,25,12.5,25,40,40,40,33.333333333333336,42.857142857142854,42.857142857142854,57.14285714285714,57.14285714285714
BGD,Bangladesh,41.30952380952381,40.89285714285714,44.464285714285715,45.14880952380952,33.33333333333333,25,25,25,50,50,50,37.5,53.333333333333336,60,60,46.666666666666664,28.57142857142857,28.57142857142857,42.857142857142854,71.42857142857143
BGR,Bulgaria,73.69047619047619,73.69047619047619,81.875,75.80357142857143,87.5,87.5,91.66666666666666,91.66666666666666,62.5,62.5,62.5,62.5,73.33333333333333,73.33333333333333,73.33333333333333,63.333333333333336,71.42857142857143,71.42857142857143,100,85.71428571428571
BHR,Bahrain,NA,NA,NA,NA,41.66666666666667,37.5,37.5,NA,NA,NA,NA,NA,46.666666666666664,46.666666666666664,43.333333333333336,NA,28.57142857142857,28.57142857142857,57.14285714285714,NA
BHS,"Bahamas, The",NA,NA,NA,NA,33.33333333333333,25,37.5,NA,NA,NA,NA,NA,36.666666666666664,36.666666666666664,36.666666666666664,NA,0,0,57.14285714285714,NA
BIH,Bosnia and Herzegovina,50.68452380952381,49.01785714285714,55.56547619047619,57.47023809523809,66.66666666666666,66.66666666666666,62.5,62.5,37.5,37.5,25,25,70,63.333333333333336,63.333333333333336,56.666666666666664,28.57142857142857,28.57142857142857,71.42857142857143,85.71428571428571
BLR,Belarus,58.035714285714285,56.99404761904761,64.3452380952381,63.72023809523809,83.33333333333334,79.16666666666666,83.33333333333334,87.5,25,25,25,25,66.66666666666667,66.66666666666667,63.333333333333336,56.666666666666664,57.14285714285714,57.14285714285714,85.71428571428571,85.71428571428571
BLZ,Belize,46.964285714285715,43.839285714285715,54.55357142857143,49.76190476190476,29.166666666666668,29.166666666666668,29.166666666666668,29.166666666666668,62.5,50,50,37.5,53.333333333333336,53.333333333333336,53.333333333333336,46.666666666666664,42.857142857142854,42.857142857142854,85.71428571428571,85.71428571428571
BOL,Bolivia,35.922619047619044,35.922619047619044,39.49404761904762,46.01190476190476,16.666666666666664,16.666666666666664,16.666666666666664,20.833333333333336,37.5,37.5,37.5,37.5,46.666666666666664,46.666666666666664,46.666666666666664,40,42.857142857142854,42.857142857142854,57.14285714285714,85.71428571428571
BRA,Brazil,62.85714285714286,59.73214285714286,70.5952380952381,71.01190476190476,54.166666666666664,54.166666666666664,70.83333333333334,79.16666666666666,62.5,50,62.5,62.5,63.333333333333336,63.333333333333336,63.333333333333336,56.666666666666664,71.42857142857143,71.42857142857143,85.71428571428571,85.71428571428571
