REF_AREA,INDICATOR,SEX,SERIES_NAME,SERIES_YEAR,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE,SERIES_CATEGORY,SERIES_TYPE,STD_ERR,REF_DATE,AGE_GROUP_OF_WOMEN,TIME_SINCE_FIRST_BIRTH,INTERVAL,SERIES_METHOD,LOWER_BOUND,UPPER_BOUND,MODEL,date,country,D3.CHLD.MORT
Afghanistan,Under-five mortality rate,Total,Demographic and Health Survey (NN adjusted) 2015 (Direct),2015,2013-07,67.41573374,Included in IGME,Deaths per 1000 live births,DHS,Direct,NA,2013.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2015,Afghanistan,67.41573374
Afghanistan,Under-five mortality rate,Total,Demographic and Health Survey (NN adjusted) 2015 (Direct),2015,2010-07,83.29626269,Included in IGME,Deaths per 1000 live births,DHS,Direct,NA,2010.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2015,Afghanistan,83.29626269
Afghanistan,Under-five mortality rate,Total,Demographic and Health Survey (NN adjusted) 2015 (Direct),2015,2007-07,88.34922577,Included in IGME,Deaths per 1000 live births,DHS,Direct,NA,2007.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2015,Afghanistan,88.34922577
Afghanistan,Under-five mortality rate,Total,Demographic and Health Survey (NN adjusted) 2015 (Direct),2015,2004-07,103.4748776,Included in IGME,Deaths per 1000 live births,DHS,Direct,NA,2004.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2015,Afghanistan,103.4748776
Afghanistan,Under-five mortality rate,Total,Demographic and Health Survey (NN adjusted) 2015 (Direct),2015,2001-07,120.6914995,Included in IGME,Deaths per 1000 live births,DHS,Direct,NA,2001.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2015,Afghanistan,120.6914995
Afghanistan,Under-five mortality rate,Total,Demographic and Health Survey (NN adjusted) 2015 (Direct),2015,1998-07,116.9496451,Included in IGME,Deaths per 1000 live births,DHS,Direct,NA,1998.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2015,Afghanistan,116.9496451
Afghanistan,Under-five mortality rate,Total,Demographic and Health Survey (NN adjusted) 2015 (Direct),2015,1995-07,139.5783667,Included in IGME,Deaths per 1000 live births,DHS,Direct,NA,1995.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2015,Afghanistan,139.5783667
Afghanistan,Under-five mortality rate,Total,Demographic and Health Survey (NN adjusted) 2015 (Direct),2015,1992-07,160.2172965,Included in IGME,Deaths per 1000 live births,DHS,Direct,NA,1992.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2015,Afghanistan,160.2172965
Bangladesh,Under-five mortality rate,Total,Demographic and Health Survey 2014 (Direct),2014,2013-01,43.09,Included in IGME,Deaths per 1000 live births,DHS,Direct,4.3,2013,NA,NA,2,Survey/Census with Full Birth Histories,NA,NA,NA,2014,Bangladesh,43.09
Bangladesh,Under-five mortality rate,Total,Demographic and Health Survey 2014 (Direct),2014,2010-07,50.6,Included in IGME,Deaths per 1000 live births,DHS,Direct,4.36,2010.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2014,Bangladesh,50.6
Bangladesh,Under-five mortality rate,Total,Demographic and Health Survey 2014 (Direct),2014,2007-07,62.8,Included in IGME,Deaths per 1000 live births,DHS,Direct,4.3,2007.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2014,Bangladesh,62.8
Bangladesh,Under-five mortality rate,Total,Demographic and Health Survey 2014 (Direct),2014,2004-07,62.51,Included in IGME,Deaths per 1000 live births,DHS,Direct,4.33,2004.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2014,Bangladesh,62.51
Bangladesh,Under-five mortality rate,Total,Demographic and Health Survey 2014 (Direct),2014,2001-07,72.78,Included in IGME,Deaths per 1000 live births,DHS,Direct,4.88,2001.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2014,Bangladesh,72.78
Bangladesh,Under-five mortality rate,Total,Demographic and Health Survey 2014 (Direct),2014,1998-07,92.73,Included in IGME,Deaths per 1000 live births,DHS,Direct,5.78,1998.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2014,Bangladesh,92.73
Bangladesh,Under-five mortality rate,Total,Demographic and Health Survey 2014 (Direct),2014,1995-07,105.1,Included in IGME,Deaths per 1000 live births,DHS,Direct,6.26,1995.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2014,Bangladesh,105.1
Bangladesh,Under-five mortality rate,Total,Demographic and Health Survey 2014 (Direct),2014,1992-07,133.24,Included in IGME,Deaths per 1000 live births,DHS,Direct,8.34,1992.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2014,Bangladesh,133.24
Bangladesh,Under-five mortality rate,Total,Report on Sample Vital Registration System 2012 (VR),2012,2000-07,84,Included in IGME,Deaths per 1000 live births,SVR,Vital Records,NA,2000.5,NA,NA,1,Vital Registration,NA,NA,NA,2012,Bangladesh,84
Bangladesh,Under-five mortality rate,Total,Report on Sample Vital Registration System 2012 (VR),2012,1999-07,87,Included in IGME,Deaths per 1000 live births,SVR,Vital Records,NA,1999.5,NA,NA,1,Vital Registration,NA,NA,NA,2012,Bangladesh,87
Bangladesh,Under-five mortality rate,Total,Report on Sample Vital Registration System 2012 (VR),2012,1998-07,110,Included in IGME,Deaths per 1000 live births,SVR,Vital Records,NA,1998.5,NA,NA,1,Vital Registration,NA,NA,NA,2012,Bangladesh,110
Bangladesh,Under-five mortality rate,Total,Report on Sample Vital Registration System 2012 (VR),2012,1997-07,115,Included in IGME,Deaths per 1000 live births,SVR,Vital Records,NA,1997.5,NA,NA,1,Vital Registration,NA,NA,NA,2012,Bangladesh,115
Bangladesh,Under-five mortality rate,Total,Report on Sample Vital Registration System 2012 (VR),2012,1996-07,117,Included in IGME,Deaths per 1000 live births,SVR,Vital Records,NA,1996.5,NA,NA,1,Vital Registration,NA,NA,NA,2012,Bangladesh,117
Bangladesh,Under-five mortality rate,Total,Report on Sample Vital Registration System 2012 (VR),2012,1995-07,125,Included in IGME,Deaths per 1000 live births,SVR,Vital Records,NA,1995.5,NA,NA,1,Vital Registration,NA,NA,NA,2012,Bangladesh,125
Bangladesh,Under-five mortality rate,Total,Report on Sample Vital Registration System 2012 (VR),2012,1994-07,134,Included in IGME,Deaths per 1000 live births,SVR,Vital Records,NA,1994.5,NA,NA,1,Vital Registration,NA,NA,NA,2012,Bangladesh,134
Bangladesh,Under-five mortality rate,Total,Report on Sample Vital Registration System 2012 (VR),2012,1993-07,139,Included in IGME,Deaths per 1000 live births,SVR,Vital Records,NA,1993.5,NA,NA,1,Vital Registration,NA,NA,NA,2012,Bangladesh,139
